Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Vertices_bin,Source
3,3,3,3,../shapes\AircraftBuoyant\m1340.obj,778,[0.19554008 0.3116706  0.1938877 ],[0.19553997 0.31167057 0.19388752],[1. 1. 1.],0.25349468,1.066475287734142,[0.025    0.367686 0.025    0.975    0.025    0.367689],[0. 0. 0.],1457,AircraftBuoyant,Triangle,[0.08524597 0.00322742 0.00317761],"[[ 0.00116887  0.99997913 -0.00635391]
 [ 0.99999145 -0.00119405 -0.00395971]
 [ 0.00396722  0.00634922  0.99997197]]","(177.999, 778.0]",Subset
4,4,4,4,../shapes\AircraftBuoyant\m1341.obj,425,[0.20235557 0.39406215 0.20228764],[0.20235543 0.39406213 0.2022876 ],[1. 1. 1.],0.27919862,1.0742192343342958,[0.025    0.379575 0.025    0.975    0.025    0.379575],[0. 0. 0.],824,AircraftBuoyant,Triangle,[0.08771655 0.00299744 0.00286422],"[[-2.07843352e-04 -9.99999978e-01  1.48961295e-06]
 [-9.99999978e-01  2.07843352e-04 -1.29210812e-08]
 [-1.26114748e-08  1.48961560e-06  1.00000000e+00]]","(177.999, 778.0]",Subset
2,2,2,2,../shapes\AircraftBuoyant\m1339.obj,1878,[0.31299033 0.35299274 0.32617148],[0.3129901  0.35299188 0.32617152],[1. 1. 1.],0.23194091,1.266288125186149,[0.025    0.607072 0.025    0.975    0.025    0.626812],[0. 0. 0.],6173,AircraftBuoyant,Triangle,[0.06554274 0.00866799 0.00892623],"[[ 0.00532142  0.9999363   0.00995386]
 [ 0.99998422 -0.00533906  0.00174674]
 [-0.00179977 -0.0099444   0.99994893]]","(778.0, 1878.0]",Subset
13,13,13,13,../shapes\AircraftBuoyant\m1350.obj,1097,[0.38388216 0.15815833 0.07356281],[0.38388136 0.15815854 0.07356288],[1. 1. 1.],0.15819034,1.0255911185049993,[0.025    0.975    0.025    0.291317 0.025    0.305022],[0. 0. 0.],1976,AircraftBuoyant,Triangle,[0.03387364 0.00393676 0.00603303],"[[-9.91325458e-01 -1.31429970e-01  1.10155605e-07]
 [-5.73168086e-08 -4.05813027e-07 -1.00000000e+00]
 [-1.31429970e-01  9.91325458e-01 -3.94759638e-07]]","(778.0, 1878.0]",Subset
15,15,15,15,../shapes\AircraftBuoyant\m1352.obj,3298,[0.46863493 0.18617714 0.17864334],[0.46863344 0.18617718 0.17864327],[1. 1. 1.],0.27261302,1.0586703243479876,[0.025    0.975    0.025    0.376642 0.025    0.332621],[0. 0. 0.],6348,AircraftBuoyant,Triangle,[0.07047498 0.01012987 0.00495225],"[[ 0.99999658 -0.0023833  -0.00107235]
 [-0.00238531 -0.99999539 -0.0018792 ]
 [ 0.00106786 -0.00188176  0.99999766]]","(1878.0, 12987.0]",Subset
10,10,10,10,../shapes\AircraftBuoyant\m1347.obj,3055,[0.16829789 0.14597533 0.53549427],[0.168298   0.14597483 0.5354932 ],[1. 1. 1.],0.23679827,1.068105537472282,[0.025    0.312086 0.025    0.419881 0.025    0.975   ],[0. 0. 0.],6274,AircraftBuoyant,Triangle,[0.00287793 0.01239918 0.06318696],"[[-9.99975853e-01  6.93630817e-03 -4.25818242e-04]
 [ 6.94043811e-03  9.99919568e-01 -1.06154395e-02]
 [-3.52152033e-04  1.06181385e-02  9.99943564e-01]]","(1878.0, 12987.0]",Subset
30,30,30,30,../shapes\Apartment\D00792.obj,1327,[ 0.3876649   0.20067655 -0.06582132],[ 0.38766468  0.20067622 -0.06582134],[1. 1. 1.],0.5146255,3.108331509101245,[-0.795163  1.10354  -0.965409  0.963376 -0.669296  0.859246],[0. 0. 0.],1158,Apartment,Triangle,[0.17266151 0.09694567 0.04606576],"[[-0.46062879  0.80958936 -0.36384912]
 [ 0.88372963  0.38011416 -0.2730113 ]
 [ 0.08272284  0.44730111  0.89054963]]","(1293.999, 4876.0]",Subset
31,31,31,31,../shapes\Apartment\D00859.obj,1378,[ 0.1700617  -0.11609521  0.02780441],[ 0.17006175 -0.1160955   0.0278044 ],[1. 1. 1.],0.57007825,2.3656642913543737,[-0.824176  1.07379  -0.692473  0.611025 -0.33128   0.211846],[0. 0. 0.],2163,Apartment,Triangle,[0.25744909 0.0989198  0.01868207],"[[ 0.9947761   0.10152261 -0.0106614 ]
 [ 0.100254   -0.99130078 -0.08527538]
 [ 0.01922603 -0.08376106  0.99630038]]","(1293.999, 4876.0]",Subset
19,19,19,19,../shapes\Apartment\D00156.obj,12732,[-0.03008283  0.19995087 -0.04225052],[-0.03008277  0.19995105 -0.04225054],[1. 1. 1.],0.6577403,2.631835668113528,[-0.81948   0.881168 -0.742071  0.842832 -0.667138  0.566733],[0. 0. 0.],19380,Apartment,Triangle,[0.23687052 0.19412456 0.02931208],"[[ 0.96834428  0.24787906  0.02941638]
 [ 0.24955814 -0.96395407 -0.09226745]
 [-0.00548487 -0.09668775  0.99529965]]","(4876.0, 12805.333]",Subset
18,18,18,18,../shapes\Apartment\D00138.obj,10827,[-0.07477229 -0.16899284  0.06729904],[-0.07477233 -0.16899247  0.06729925],[1. 1. 1.],0.18904723,2.003668908791437,[-0.782682  0.776339 -0.514535  0.633157 -0.317783  0.198885],[0. 0. 0.],21140,Apartment,Triangle,[0.04053749 0.00691138 0.01949903],"[[-9.99477518e-01 -3.23201586e-02  3.12140538e-04]
 [-4.84729086e-04  2.46447281e-02  9.99696155e-01]
 [ 3.23180309e-02 -9.99173681e-01  2.46475182e-02]]","(4876.0, 12805.333]",Subset
