,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Distribution,FlippingMomentum
0,../shapes/AircraftBuoyant/m1337.obj,201,[0.45806434 0.51589741 0.45660967],[0.45806434 0.51589741 0.45660967],[1. 1. 1.],0.4403466122066284,1.5479989707722677,[0.025    0.889234 0.025    0.975    0.025    0.889234],[0. 0. 0.],340,AircraftBuoyant,Triangle,"[[ 1.37932984e-03 -8.60879106e-01  5.08807688e-01]
 [-9.99998671e-01 -1.62945564e-03 -4.60612164e-05]
 [-8.68732693e-04  5.08806948e-01  8.60880209e-01]]",[0.10504595 0.04645249 0.04645206],13.599631075722254,"[np.float64(88.30131112660229), np.float64(144.9856320654222), np.float64(87.9379831707377)]"
1,../shapes/AircraftBuoyant/m1341.obj,425,[0.20235556 0.39406215 0.20228764],[0.20235556 0.39406215 0.20228764],[1. 1. 1.],0.2791986064056426,1.0742191867817292,[0.025    0.379575 0.025    0.975    0.025    0.379575],[0. 0. 0.],824,AircraftBuoyant,Triangle,"[[-2.07842920e-04 -9.99999978e-01  1.51565623e-06]
 [-9.99999978e-01  2.07842920e-04 -1.22730395e-08]
 [-1.19580208e-08  1.51565874e-06  1.00000000e+00]]",[0.08771655 0.00299744 0.00286422],11.879438382911017,"[np.float64(36.02686909402769), np.float64(199.27876078139917), np.float64(35.941125874888165)]"
2,../shapes/AircraftBuoyant/m1342.obj,1252,[0.3500422  0.2338341  0.30815935],[0.3500422  0.2338341  0.30815935],[1. 1. 1.],0.25123120063236254,1.2601828907618926,[0.025    0.611587 0.025    0.975    0.025    0.60936 ],[0. 0. 0.],2305,AircraftBuoyant,Triangle,"[[ 0.0603678  -0.98356147 -0.17018389]
 [-0.99801767 -0.05643591 -0.02785186]
 [-0.01778954 -0.17152788  0.98501864]]",[0.08185583 0.00747886 0.00791175],70.32547105576657,"[np.float64(300.46735701748423), np.float64(336.0046999588621), np.float64(238.34148868583705)]"
3,../shapes/AircraftBuoyant/m1344.obj,1093,[0.35005955 0.29013131 0.34940063],[0.35005955 0.29013131 0.34940063],[1. 1. 1.],0.31204835739236825,1.3210451626651527,[0.025    0.674099 0.025    0.975    0.025    0.6741  ],[0. 0. 0.],1930,AircraftBuoyant,Triangle,"[[ 1.01636165e-03 -9.99970331e-01  7.63572930e-03]
 [-9.99999434e-01 -1.01874660e-03 -3.08458435e-04]
 [-3.16228156e-04  7.63541147e-03  9.99970800e-01]]",[0.10835615 0.01093409 0.0108532 ],1073.4733712102554,"[np.float64(259.46644429520563), np.float64(413.870611667778), np.float64(258.40597443599995)]"
4,../shapes/AircraftBuoyant/m1345.obj,3174,[0.31304833 0.58999737 0.3130726 ],[0.31304833 0.58999737 0.3130726 ],[1. 1. 1.],0.34617576103973274,1.2516750223033133,[0.025    0.601277 0.025    0.975    0.025    0.601277],[0. 0. 0.],6000,AircraftBuoyant,Triangle,"[[ 1.11849402e-03  9.99225446e-01 -3.93351922e-02]
 [ 9.99998882e-01 -1.15666234e-03 -9.47590953e-04]
 [ 9.92354528e-04  3.93340884e-02  9.99225623e-01]]",[0.09119675 0.02040059 0.02041466],149.54890045369973,"[np.float64(708.256826351511), np.float64(2621.4306924677217), np.float64(708.4397664994787)]"
5,../shapes/AircraftBuoyant/m1352.obj,3298,[0.46863493 0.18617714 0.17864334],[0.46863493 0.18617714 0.17864334],[1. 1. 1.],0.27261305909359895,1.058670286635551,[0.025    0.975    0.025    0.376642 0.025    0.332621],[0. 0. 0.],6348,AircraftBuoyant,Triangle,"[[ 0.99999658 -0.0023833  -0.00107235]
 [-0.00238531 -0.99999539 -0.00187921]
 [ 0.00106786 -0.00188176  0.99999766]]",[0.07047498 0.01012987 0.00495225],765.9909295913166,"[np.float64(1819.4790267161288), np.float64(286.88335645341334), np.float64(234.58376811291905)]"
6,../shapes/Apartment/D00310.obj,14464,[ 0.07108421 -0.00575935 -0.01667491],[ 0.07108421 -0.00575935 -0.01667491],[1. 1. 1.],0.5773756814583144,2.107706741248886,[-0.744656  1.03298  -0.389316  0.494357 -0.368775  0.339434],[0. 0. 0.],9480,Apartment,Triangle,"[[ 0.99840528 -0.051258   -0.02365413]
 [-0.05083436 -0.99854167  0.01817693]
 [ 0.02455135  0.0169455   0.99955494]]",[0.27760058 0.07429363 0.02494206],1219.6245977909684,"[np.float64(725.7491051415143), np.float64(75.310039846715), np.float64(-37.28226438825047)]"
7,../shapes/Apartment/D00366.obj,1294,[-0.02215598 -0.07962717  0.02382457],[-0.02215598 -0.07962717  0.02382457],[1. 1. 1.],0.6026212928930581,2.4926391816921676,[-0.895467  0.745644 -0.856715  0.59104  -0.663917  0.529402],[0. 0. 0.],2540,Apartment,Triangle,"[[ 0.99661581  0.07339569  0.03701341]
 [ 0.08181126 -0.92941841 -0.35984488]
 [-0.00798988 -0.36165521  0.93227768]]",[0.20970553 0.1047377  0.08072606],47.60979517269761,"[np.float64(-106.83226312316168), np.float64(-129.58398059235523), np.float64(0.3135948308215266)]"
8,../shapes/Apartment/D00496.obj,7737,[-0.00174584 -0.00655535 -0.03233715],[-0.00174584 -0.00655535 -0.03233715],[1. 1. 1.],0.5189563690832693,2.4689015387094724,[-0.643419  1.15353  -0.704659  0.878216 -0.341188  0.259608],[0. 0. 0.],2579,Apartment,Triangle,"[[ 5.27407648e-02  9.10681880e-01 -4.09727868e-01]
 [ 2.31046565e-02  4.09076259e-01  9.12207646e-01]
 [-9.98340917e-01  5.75771505e-02 -5.34002712e-04]]",[0.04797047 0.11902877 0.12583616],227.8457170982358,"[np.float64(31.02537890692893), np.float64(-1.2808987741087714), np.float64(-43.93735668899396)]"
9,../shapes/Apartment/D00639.obj,4849,[ 0.1916355  -0.02615515 -0.12254833],[ 0.1916355  -0.02615515 -0.12254833],[1. 1. 1.],0.5544279573820372,2.2844846660796394,[-0.542818  1.14108  -0.544259  0.500059 -0.687879  0.449116],[0. 0. 0.],7980,Apartment,Triangle,"[[ 0.98329075  0.18155036  0.01337046]
 [ 0.03728557 -0.12896214 -0.99094831]
 [ 0.17818274 -0.97488883  0.13357649]]",[0.19643149 0.05736936 0.08108464],252.08786408532373,"[np.float64(1292.2506364629287), np.float64(-89.00648720205788), np.float64(-462.96675254221947)]"
10,../shapes/Apartment/D00869.obj,4930,[-0.15508069  0.08652805  0.13220488],[-0.15508069  0.08652805  0.13220488],[1. 1. 1.],0.6617206544412922,2.242601277335318,[-0.984513  0.688383 -0.521765  0.644962 -0.380646  0.551785],[0. 0. 0.],9069,Apartment,Triangle,"[[ 0.99061291  0.13211515 -0.03509488]
 [ 0.13542341 -0.9834532   0.12033415]
 [ 0.0186162   0.12395723  0.99211292]]",[0.26627842 0.12188595 0.07982689],530.9543157654223,"[np.float64(-1172.1111376395986), np.float64(461.4886834309346), np.float64(635.9241987287398)]"
