,New Path,Orig Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Prev Eigenvalue,Prev Eigenvectors
0,../normshapes\AircraftBuoyant\m1337.obj,../shapes\AircraftBuoyant\m1337.obj,201,[ 1.78851002e-09 -9.77657031e-10  1.82955945e-09],[ 1.6013189e-08 -1.9645809e-09  1.7746096e-08],[1. 1. 1.],0.44034663,1.5621523195454445,[-0.48716924  0.4930857  -0.4315087   0.43296567 -0.37102404  0.4846068 ],[0. 0. 0.],340,AircraftBuoyant,Triangle,[0.10504595 0.04645206 0.04645249],"[[ 8.59382691e-01 -4.39679886e-01 -2.61042118e-01]
 [ 2.50257905e-04  5.10874597e-01 -8.59655212e-01]
 [-5.11332893e-01 -7.38707482e-01 -4.39146819e-01]]",[0.10504596 0.04645249 0.04645206],"[[ 1.37933137e-03 -8.60535996e-01  5.09387767e-01]
 [-9.99998671e-01 -1.62949098e-03 -4.49679127e-05]
 [-8.68739279e-04  5.09387028e-01  8.60537100e-01]]"
1,../normshapes\AircraftBuoyant\m1338.obj,../shapes\AircraftBuoyant\m1338.obj,8761,[ 4.58543072e-10 -1.75375665e-09 -1.11353472e-09],[ 1.6469517e-07 -1.0205110e-10 -1.4282902e-09],[1. 1. 1.],0.4351798,1.601445953935726,[-0.42520702  0.52710974 -0.45321482  0.4548425  -0.45483497  0.45793763],[0. 0. 0.],16960,AircraftBuoyant,Triangle,[0.09733962 0.04683994 0.04685405],"[[ 9.99848896e-01  1.73810616e-02  2.90967777e-04]
 [ 1.09032976e-05 -1.73651967e-02  9.99849214e-01]
 [-1.73834935e-02  9.99698129e-01  1.73627622e-02]]",[0.09733962 0.04685405 0.04683994],"[[ 1.08941545e-03 -9.99859181e-01  1.67460613e-02]
 [-9.99999204e-01 -1.09992458e-03 -6.18360358e-04]
 [-6.36692685e-04  1.67453743e-02  9.99859584e-01]]"
2,../normshapes\AircraftBuoyant\m1339.obj,../shapes\AircraftBuoyant\m1339.obj,1878,[ 5.38312383e-10 -1.28720911e-09 -5.45225124e-10],[ 4.9289678e-08  4.9987919e-10 -1.1743194e-09],[1. 1. 1.],0.23194125,1.266717844593356,[-0.32795498  0.6220656  -0.30457753  0.2977957  -0.28982636  0.29256654],[0. 0. 0.],6173,AircraftBuoyant,Triangle,[0.06554274 0.00892623 0.00866799],"[[ 9.99930925e-01 -1.17529533e-02 -1.16628241e-04]
 [-1.17535135e-02 -9.99862584e-01 -1.16904931e-02]
 [-2.07856046e-05 -1.16910564e-02  9.99931657e-01]]",[0.06554274 0.00866799 0.00892623],"[[ 0.00532142  0.9999363   0.00995386]
 [ 0.99998422 -0.00533906  0.00174674]
 [-0.00179977 -0.0099444   0.99994893]]"
3,../normshapes\AircraftBuoyant\m1340.obj,../shapes\AircraftBuoyant\m1340.obj,778,[-1.22580246e-09  6.75995527e-10 -9.15012459e-11],[ 3.4150091e-08  6.1290123e-10 -1.7680764e-09],[1. 1. 1.],0.25349474,1.0664549124567897,[-0.2866808   0.66330093 -0.17113581  0.17154726 -0.16575605  0.17692336],[0. 0. 0.],1457,AircraftBuoyant,Triangle,[0.08524597 0.00317761 0.00322742],"[[ 9.99946737e-01 -1.03207796e-02 -6.55154047e-05]
 [-4.08836047e-05 -1.03086544e-02  9.99946864e-01]
 [ 1.03209066e-02  9.99893601e-01  1.03085273e-02]]",[0.08524597 0.00322742 0.00317761],"[[ 0.00116887  0.99997913 -0.00635391]
 [ 0.99999145 -0.00119405 -0.00395971]
 [ 0.00396722  0.00634922  0.99997197]]"
4,../normshapes\AircraftBuoyant\m1341.obj,../shapes\AircraftBuoyant\m1341.obj,425,[ 5.00722843e-09 -7.38106979e-10 -1.94704049e-10],[ 6.1708336e-09  3.0854168e-09 -1.2140063e-09],[1. 1. 1.],0.27919862,1.0742192244972364,[-0.58093786  0.36906216 -0.17715119  0.1774238  -0.17728715  0.17728786],[0. 0. 0.],824,AircraftBuoyant,Triangle,[0.08771655 0.00286422 0.00299744],"[[-1.00000000e+00 -1.50238408e-06 -6.12332102e-11]
 [-6.34003623e-11  1.44247542e-06  1.00000000e+00]
 [ 1.50238408e-06 -1.00000000e+00  1.44247542e-06]]",[0.08771655 0.00299744 0.00286422],"[[-2.07843352e-04 -9.99999978e-01  1.48961295e-06]
 [-9.99999978e-01  2.07843352e-04 -1.29210812e-08]
 [-1.26114748e-08  1.48961560e-06  1.00000000e+00]]"
5,../normshapes\AircraftBuoyant\m1342.obj,../shapes\AircraftBuoyant\m1342.obj,1252,[-2.43988662e-09  2.04424189e-10 -5.73504104e-10],[ 3.6580445e-08 -1.1872131e-09  1.8834734e-09],[1. 1. 1.],0.2512312,1.2723918902713665,[-0.7415161   0.20913637 -0.3686655   0.23695424 -0.29036474  0.29994512],[0. 0. 0.],2305,AircraftBuoyant,Triangle,[0.08185583 0.00791175 0.00747886],"[[ 0.98828348  0.15051394  0.02532404]
 [ 0.15259095 -0.97806657 -0.14178074]
 [-0.00342862 -0.14398379  0.98957411]]",[0.08185583 0.00747886 0.00791175],"[[ 0.0603678  -0.98356146 -0.17018394]
 [-0.99801767 -0.05643591 -0.02785187]
 [-0.01778954 -0.17152794  0.98501863]]"
6,../normshapes\AircraftBuoyant\m1343.obj,../shapes\AircraftBuoyant\m1343.obj,178,[-3.93457627e-09  1.18640925e-09 -1.38913687e-10],[ 3.8006334e-08  1.0464298e-09 -1.3394302e-09],[1. 1. 1.],0.35900378,1.357746368136316,[-0.48942357  0.4605765  -0.34296018  0.3429608  -0.3429601   0.3429609 ],[0. 0. 0.],344,AircraftBuoyant,Triangle,[0.08290807 0.02722419 0.02728586],"[[ 1.00000000e+00  6.20838748e-09  4.93828616e-10]
 [ 4.93828615e-10  1.58362019e-10 -1.00000000e+00]
 [ 6.20838748e-09 -1.00000000e+00 -1.58312690e-10]]",[0.02722419 0.08290806 0.02728586],"[[ 1.00000000e+00  3.46260118e-07  4.10395718e-11]
 [ 3.46260118e-07 -1.00000000e+00 -2.90975401e-07]
 [-4.09388186e-11 -2.90975401e-07  1.00000000e+00]]"
7,../normshapes\AircraftBuoyant\m1344.obj,../shapes\AircraftBuoyant\m1344.obj,1093,[ 1.51329267e-09  5.62305709e-10 -5.92301560e-10],[ 1.2116567e-07 -9.1734851e-09 -2.3346971e-09],[1. 1. 1.],0.3120483,1.3211221169349907,[-0.6848478   0.26523745 -0.32449758  0.32462636 -0.32106397  0.32804298],[0. 0. 0.],1930,AircraftBuoyant,Triangle,[0.10835615 0.0108532  0.01093409],"[[ 9.99968380e-01  7.95209526e-03  6.06926805e-05]
 [ 2.48344161e-06 -7.94433747e-03  9.99968443e-01]
 [-7.95232648e-03  9.99936824e-01  7.94410602e-03]]",[0.10835615 0.01093409 0.0108532 ],"[[ 1.01636442e-03 -9.99970329e-01  7.63602075e-03]
 [-9.99999434e-01 -1.01874947e-03 -3.08459073e-04]
 [-3.16229113e-04  7.63570291e-03  9.99970798e-01]]"
8,../normshapes\AircraftBuoyant\m1345.obj,../shapes\AircraftBuoyant\m1345.obj,3174,[-3.75059798e-09 -1.77988170e-09  2.05467518e-09],[ 7.5557431e-08 -2.0574775e-09  4.2710560e-09],[1. 1. 1.],0.34617576,1.2511947877599239,[-0.56494284  0.38469556 -0.28036985  0.29546088 -0.288268    0.28800833],[0. 0. 0.],6000,AircraftBuoyant,Triangle,[0.09119675 0.02041466 0.02040059],"[[ 9.99186510e-01  4.02964701e-02 -1.58544545e-03]
 [ 4.03276284e-02 -9.98375444e-01  4.02511412e-02]
 [-3.91091045e-05  4.02823346e-02  9.99188337e-01]]",[0.09119675 0.02040059 0.02041466],"[[ 1.11849481e-03  9.99225416e-01 -3.93359515e-02]
 [ 9.99998882e-01 -1.15666386e-03 -9.47590311e-04]
 [ 9.92354796e-04  3.93348477e-02  9.99225593e-01]]"
9,../normshapes\AircraftBuoyant\m1346.obj,../shapes\AircraftBuoyant\m1346.obj,742,[-4.70878012e-10 -7.48593812e-10  7.41167089e-10],[8.0756459e-09 3.3638067e-10 4.1530459e-08],[1. 1. 1.],0.29044232,1.0486443672248,[-0.15780915  0.16787024 -0.15674648  0.14028145 -0.4338186   0.5176867 ],[0. 0. 0.],1375,AircraftBuoyant,Triangle,[0.0897768  0.00622558 0.00387209],"[[ 0.00266847 -0.99992897  0.01161605]
 [ 0.01205617  0.01164742  0.99985948]
 [ 0.99992376  0.00252805 -0.0120864 ]]",[0.0897768  0.00387209 0.00622558],"[[ 0.00155137  0.99991205  0.01317147]
 [ 0.01050078 -0.01318705  0.99985791]
 [-0.99994366  0.00141284  0.01052031]]"
10,../normshapes\AircraftBuoyant\m1347.obj,../shapes\AircraftBuoyant\m1347.obj,3055,[5.75103122e-10 4.87839264e-10 3.87058766e-10],[-3.3706865e-08  3.6396880e-08 -6.2464156e-10],[1. 1. 1.],0.23679842,1.0691764108361175,[-0.5107367   0.44056234 -0.12127626  0.27338043 -0.14310277  0.14397629],[0. 0. 0.],6274,AircraftBuoyant,Triangle,[0.06318696 0.01239918 0.00287793],"[[-9.99774565e-01  2.12323778e-02  7.37061299e-05]
 [ 2.12323781e-02  9.99774568e-01  3.34806309e-06]
 [ 7.36184269e-05 -4.91226473e-06  9.99999997e-01]]",[0.00287793 0.01239918 0.06318696],"[[-9.99975853e-01  6.93630817e-03 -4.25818242e-04]
 [ 6.94043811e-03  9.99919568e-01 -1.06154395e-02]
 [-3.52152033e-04  1.06181385e-02  9.99943564e-01]]"
