,AircraftBuoyant,Apartment,AquaticAnimal,Bed,Bicycle,Biplane,Bird,Bookset,Bottle,BuildingNonResidential,Bus,Car,Cellphone,Chess,City,ClassicPiano,Computer,ComputerKeyboard,Cup,DeskLamp,DeskPhone,Door,Drum,Fish,FloorLamp,Glasses,Guitar,Gun,Hand,Hat,Helicopter,House,HumanHead,Humanoid,Insect,Jet,Knife,MilitaryVehicle,Monitor,Monoplane,Motorcycle,Mug,MultiSeat,Musical_Instrument,NonWheelChair,PianoBoard,PlantIndoors,PlantWildNonTree,Quadruped,RectangleTable,Rocket,RoundTable,Shelf,Ship,Sign,Skyscraper,Spoon,Starship,SubmachineGun,Sword,Tool,Train,Tree,Truck,TruckNonContainer,Vase,Violin,Wheel,WheelChair
AircraftBuoyant,2.110658884048462,3.583177328109741,3.283950090408325,3.734891891479492,2.869464159011841,2.7387819290161133,2.5527586936950684,5.833437442779541,2.2713992595672607,3.536648988723755,4.541524887084961,2.2906222343444824,2.328734874725342,2.0707809925079346,3.123441457748413,3.714858055114746,2.993032932281494,4.472779273986816,3.052018880844116,2.6773338317871094,2.7275421619415283,2.8571581840515137,5.476104736328125,2.26891827583313,2.6300179958343506,3.865330457687378,2.369511604309082,2.2491745948791504,1.8604868650436401,2.704300880432129,2.7678022384643555,3.2213194370269775,3.77577543258667,2.2466630935668945,3.188934803009033,2.695125102996826,2.9810421466827393,2.4773762226104736,3.293116569519043,2.645395040512085,2.4176552295684814,2.777696132659912,2.6777467727661133,2.4763588905334473,2.775895357131958,4.551722049713135,3.6917083263397217,3.00991153717041,2.149696111679077,3.5450284481048584,2.258028268814087,2.9777779579162598,3.7614264488220215,2.2851243019104004,2.945305585861206,2.994825601577759,2.616373062133789,2.359121084213257,2.3594918251037598,3.0852901935577393,2.523721218109131,2.899592876434326,3.6436121463775635,3.4752047061920166,3.3738112449645996,3.087583541870117,2.1845574378967285,2.6282129287719727,2.581047296524048
Apartment,3.583177328109741,2.9679791927337646,4.570866107940674,2.949335813522339,3.713247537612915,3.592698574066162,3.6139681339263916,5.051513671875,3.51641845703125,3.18887996673584,4.577425479888916,3.0021586418151855,3.506514310836792,3.01288104057312,3.437197208404541,3.2024924755096436,2.778125524520874,5.016271114349365,3.0438425540924072,3.517838478088379,2.9630186557769775,3.329835891723633,4.739769458770752,3.5170044898986816,3.4449687004089355,3.7327382564544678,3.6817500591278076,3.4589171409606934,3.203970193862915,3.0965099334716797,3.6889028549194336,2.9504659175872803,4.704699993133545,3.439681053161621,3.8590903282165527,3.6789896488189697,4.269508361816406,2.575141668319702,3.0550849437713623,3.690396308898926,3.095123291015625,2.801961660385132,2.7889721393585205,3.496389150619507,3.319851875305176,4.181297302246094,4.01846981048584,3.6444199085235596,3.232267141342163,3.2230961322784424,3.6361875534057617,3.103661298751831,2.957580804824829,3.5016562938690186,3.7196483612060547,3.4572434425354004,3.8064699172973633,3.2986929416656494,3.6543691158294678,4.191226005554199,3.520473003387451,3.643005847930908,4.375595569610596,3.599160671234131,2.9935190677642822,3.326932191848755,3.580057382583618,3.2623140811920166,3.302659511566162
AquaticAnimal,3.283950090408325,4.570866107940674,2.8236281871795654,4.433812141418457,2.2350711822509766,2.1562671661376953,2.097357988357544,7.3722686767578125,3.2674834728240967,3.9092633724212646,5.725344181060791,2.8416481018066406,3.4800353050231934,2.512759208679199,2.833479166030884,4.290466785430908,3.6556718349456787,5.645930290222168,3.170630931854248,2.2690377235412598,3.324012517929077,3.0687203407287598,6.85841703414917,1.7238024473190308,2.311378002166748,3.767512798309326,2.183626174926758,2.1388609409332275,2.2211201190948486,2.952670097351074,2.137648820877075,3.8970606327056885,5.727762699127197,1.9263701438903809,2.9347219467163086,2.0333831310272217,3.395226240158081,3.1722636222839355,4.234638214111328,1.947924017906189,2.2307374477386475,3.247645378112793,3.2633752822875977,2.25606107711792,2.4468536376953125,5.827980041503906,3.4879846572875977,2.5414702892303467,2.105059862136841,3.689744234085083,2.1701958179473877,3.1792376041412354,4.272185802459717,2.0536880493164062,2.676504611968994,3.6221511363983154,2.438115358352661,2.21240234375,1.939537763595581,2.7574706077575684,2.242582321166992,3.2369704246520996,3.2148613929748535,4.35095739364624,4.149697303771973,3.845449209213257,2.468738555908203,3.6690773963928223,2.224360466003418
Bed,3.734891653060913,2.949336051940918,4.433812141418457,1.7194397449493408,3.3797895908355713,3.363759994506836,3.403461217880249,5.486448287963867,3.6362650394439697,2.8074638843536377,5.068814754486084,2.980489492416382,3.6070775985717773,2.7749903202056885,2.919340133666992,3.562340259552002,2.176565170288086,5.2673020362854,2.243694543838501,3.1476316452026367,2.561577081680298,2.819838285446167,4.9868574142456055,3.377394437789917,3.2458760738372803,2.366227149963379,3.556323289871216,3.3331620693206787,3.2003283500671387,2.9801690578460693,3.372886896133423,2.7093052864074707,4.995178699493408,3.287442922592163,3.3544137477874756,3.4237864017486572,4.281411170959473,2.5897397994995117,2.514030933380127,3.4753615856170654,2.977853536605835,2.6761417388916016,2.3561580181121826,3.2851076126098633,2.795443534851074,3.9833972454071045,3.7285494804382324,3.393803834915161,3.0322937965393066,2.144304037094116,3.537371873855591,2.4586968421936035,2.2935562133789062,3.3766062259674072,3.269606113433838,3.7527177333831787,3.671302080154419,3.2268028259277344,3.500837564468384,3.982757568359375,3.106174945831299,3.8047423362731934,4.045494556427002,3.872441291809082,3.46364688873291,3.1395480632781982,3.61415433883667,3.453033208847046,3.0400848388671875
Bicycle,2.869464159011841,3.713247060775757,2.2350711822509766,3.3797895908355713,0.4012911319732666,0.5436760187149048,0.8388081192970276,6.732853889465332,2.842498779296875,2.768219470977783,5.192718029022217,2.0788779258728027,3.1614303588867188,1.865876317024231,1.3720203638076782,3.2284739017486572,2.689600944519043,5.380917072296143,1.8745211362838745,0.8069087862968445,2.567481756210327,2.1838810443878174,6.111367702484131,0.9093525409698486,1.0108447074890137,2.265570640563965,1.4684021472930908,1.440575122833252,1.7242608070373535,1.7379047870635986,0.5859283208847046,2.930624008178711,5.345846652984619,1.1010152101516724,1.557234525680542,0.6149594783782959,2.9191501140594482,2.3999102115631104,3.3121306896209717,0.5598891973495483,1.045270562171936,2.1056039333343506,2.3168535232543945,1.3232204914093018,0.921150267124176,5.1822829246521,2.019084930419922,0.8865380883216858,1.2810869216918945,2.346266746520996,1.4764947891235352,1.9146997928619385,3.1307334899902344,1.2735013961791992,1.5660805702209473,3.014883041381836,1.5805883407592773,1.186322569847107,1.1773052215576172,1.5903327465057373,1.304462194442749,2.4056010246276855,1.632657527923584,3.671863079071045,3.2631337642669678,2.9103949069976807,2.010096311569214,2.920478343963623,0.7729600667953491
Biplane,2.7387821674346924,3.592698574066162,2.1562671661376953,3.363759994506836,0.5436760187149048,0.4706602990627289,0.8040829300880432,6.582024574279785,2.7086315155029297,2.7013590335845947,5.038305282592773,1.9511492252349854,3.048922061920166,1.7596774101257324,1.363267183303833,3.062966823577881,2.6182010173797607,5.2681145668029785,1.8668311834335327,0.8425252437591553,2.4757063388824463,2.1689987182617188,5.974456310272217,0.7970770597457886,0.9554038047790527,2.4002208709716797,1.4223089218139648,1.3713992834091187,1.5897988080978394,1.607304573059082,0.6050857305526733,2.8259270191192627,5.212593078613281,1.0118285417556763,1.572951316833496,0.6098097562789917,2.862894296646118,2.241553544998169,3.2477211952209473,0.5338400602340698,0.9063985347747803,1.9759413003921509,2.251506805419922,1.2740312814712524,0.9387626647949219,5.087186336517334,1.9632717370986938,0.893133819103241,1.1836072206497192,2.3666369915008545,1.4189449548721313,1.8687728643417358,3.071730852127075,1.1911550760269165,1.5795938968658447,2.8668088912963867,1.5598536729812622,1.0852787494659424,1.1325106620788574,1.6188167333602905,1.300555944442749,2.268341541290283,1.6535996198654175,3.534083843231201,3.0833442211151123,2.799589157104492,1.912279486656189,2.7635300159454346,0.6880848407745361
Bird,2.5527586936950684,3.6139678955078125,2.097358226776123,3.403461217880249,0.8388080596923828,0.8040829300880432,0.8840280771255493,6.573963165283203,2.5471019744873047,2.825018882751465,4.98105525970459,1.9289171695709229,2.823115587234497,1.6560161113739014,1.6028883457183838,3.221255302429199,2.634699583053589,5.090137004852295,2.0216667652130127,1.0312424898147583,2.43383526802063,2.1665842533111572,5.980449676513672,0.8201465606689453,1.134703516960144,2.56563663482666,1.341742992401123,1.3003573417663574,1.4518018960952759,1.7934601306915283,0.8110643625259399,2.8823418617248535,5.003956317901611,1.0298211574554443,1.7480263710021973,0.7805189490318298,2.688096046447754,2.237093448638916,3.253169298171997,0.6915770173072815,1.1198493242263794,2.1168155670166016,2.2647085189819336,1.288419246673584,1.1985361576080322,5.011672496795654,2.240821599960327,1.1773983240127563,1.1741875410079956,2.531315803527832,1.3352007865905762,2.017763137817383,3.201601266860962,1.1681818962097168,1.618420958518982,2.8304474353790283,1.5094114542007446,1.1851425170898438,1.059555172920227,1.6242324113845825,1.2915279865264893,2.298142433166504,1.9063587188720703,3.511674165725708,3.1821231842041016,2.8321902751922607,1.7622512578964233,2.7353012561798096,0.9839757680892944
Bookset,5.833437442779541,5.051513195037842,7.3722686767578125,5.486448764801025,6.732853889465332,6.582025051116943,6.573962688446045,4.865368843078613,5.999665260314941,5.695981025695801,5.869844436645508,5.777163505554199,5.990407466888428,5.862919330596924,6.365522861480713,5.270851135253906,5.290048599243164,6.694914817810059,5.959345817565918,6.523942947387695,5.494948863983154,6.165302276611328,5.498543739318848,6.47833251953125,6.37720251083374,6.779402732849121,6.588469982147217,6.373003959655762,6.012686729431152,5.784142017364502,6.696758270263672,5.295849323272705,5.667595386505127,6.39054012298584,6.794805526733398,6.670573711395264,6.763500213623047,5.226654529571533,5.165638446807861,6.6788411140441895,6.025760650634766,5.439962863922119,5.536576271057129,6.4244585037231445,6.35600471496582,5.3064703941345215,6.865205764770508,6.558945178985596,6.168979167938232,6.107430934906006,6.525885581970215,5.96249532699585,5.490836143493652,6.427857398986816,6.64316987991333,5.720704555511475,6.651349067687988,6.170186519622803,6.605607032775879,7.073298454284668,6.51957893371582,6.236796855926514,7.3114447593688965,5.527650356292725,4.924933433532715,5.656746864318848,6.335638999938965,5.460799217224121,6.2996392250061035
Bottle,2.2713992595672607,3.516418933868408,3.267483711242676,3.636265277862549,2.842498779296875,2.7086312770843506,2.5471019744873047,5.999665260314941,1.8437691926956177,3.5295042991638184,4.2304229736328125,2.101881265640259,1.733941912651062,2.060148000717163,3.0544354915618896,3.736555576324463,3.049635887145996,3.8697869777679443,3.006784439086914,2.6499903202056885,2.6427488327026367,2.6263184547424316,5.622328281402588,2.272082567214966,2.614880084991455,3.7743844985961914,2.2912540435791016,2.1383707523345947,1.8662763833999634,2.760789155960083,2.74273419380188,3.2171714305877686,4.172550678253174,2.18221378326416,3.157069444656372,2.670114517211914,2.63370943069458,2.3611159324645996,3.3934481143951416,2.6264829635620117,2.3556792736053467,2.8505048751831055,2.569145679473877,2.4135663509368896,2.731031894683838,4.578056335449219,3.67276930809021,2.9871184825897217,2.1244146823883057,3.4696803092956543,2.124662399291992,2.989933729171753,3.6364150047302246,2.2090117931365967,2.8684539794921875,2.7104220390319824,2.5094494819641113,2.30926251411438,2.2953763008117676,3.0704963207244873,2.423840045928955,2.7071375846862793,3.6160240173339844,3.2398364543914795,3.2832350730895996,3.1720268726348877,1.96731436252594,2.6154584884643555,2.5466291904449463
BuildingNonResidential,3.536648988723755,3.18887996673584,3.9092633724212646,2.8074638843536377,2.768219470977783,2.7013590335845947,2.825018882751465,5.695981025695801,3.529503583908081,2.8291807174682617,4.988519668579102,2.7712130546569824,3.675480365753174,2.630842685699463,2.685870409011841,3.127995729446411,2.577120304107666,5.417746543884277,2.4482131004333496,2.6878883838653564,2.833144187927246,2.9157047271728516,5.200382709503174,2.7532100677490234,2.6876955032348633,2.9261789321899414,3.0798351764678955,2.901350975036621,2.8152594566345215,2.607790946960449,2.7888309955596924,2.824343681335449,5.163277626037598,2.768653631210327,3.094618797302246,2.80118465423584,4.04593563079834,2.51676869392395,3.0412967205047607,2.8111958503723145,2.4307055473327637,2.4420273303985596,2.589038848876953,2.8465545177459717,2.4802212715148926,4.555081367492676,3.2950973510742188,2.8045945167541504,2.637164831161499,2.6256139278411865,3.0753748416900635,2.524442672729492,2.7218234539031982,2.8753323554992676,3.029524087905884,3.4634344577789307,3.2069251537323,2.689981698989868,2.969892740249634,3.453646421432495,2.836639165878296,3.3503522872924805,3.5238139629364014,3.7614455223083496,3.1252846717834473,3.140289783477783,3.2357800006866455,3.2931249141693115,2.481177806854248
