,AircraftBuoyant,Apartment,AquaticAnimal,Bed,Bicycle,Biplane,Bird,Bookset,Bottle,BuildingNonResidential,Bus,Car,Cellphone,Chess,City,ClassicPiano,Computer,ComputerKeyboard,Cup,DeskLamp,DeskPhone,Door,Drum,Fish,FloorLamp,Glasses,Guitar,Gun,Hand,Hat,Helicopter,House,HumanHead,Humanoid,Insect,Jet,Knife,MilitaryVehicle,Monitor,Monoplane,Motorcycle,Mug,MultiSeat,Musical_Instrument,NonWheelChair,PianoBoard,PlantIndoors,PlantWildNonTree,Quadruped,RectangleTable,Rocket,RoundTable,Shelf,Ship,Sign,Skyscraper,Spoon,Starship,SubmachineGun,Sword,Tool,Train,Tree,Truck,TruckNonContainer,Vase,Violin,Wheel,WheelChair
AircraftBuoyant,14.85032265663731,18.269274565489575,18.618174292590293,22.1197566395275,16.529478055456064,16.514318609367653,17.381937740556708,21.851599190476055,15.394070675281768,19.03496097196209,22.80651143992097,15.6264215230642,17.1832288966866,14.706112370067897,20.04787329720137,18.10313068076253,16.92362534397438,23.24032529704853,19.561463806558017,18.418611110928087,16.581633434131838,18.11729548198844,23.980825079017805,14.978456805754934,21.189723508700254,23.45888145237499,23.098789630100576,21.48471287289125,14.603624286697228,16.442299275809184,17.47168916966061,17.64942155914949,18.29598999790006,16.931496304339873,17.316837157021506,18.06562754625234,26.85770575465304,15.401533210482443,19.55314359006207,17.429590440378593,15.20600130265449,17.755567023651054,16.63878099018994,22.18295545504521,16.12484469455792,21.867631771905682,18.829598706162436,19.530278984018636,14.813774786196154,20.76239368710835,20.791986391585244,19.077309424120408,19.03868161652278,19.628719949975572,23.98407589264926,17.68235455990805,26.340769532183756,16.051633180886242,22.862165287466734,34.72168454538692,21.761324257962055,21.2181895967874,19.197272161628224,19.042123743360143,16.881026374511258,17.177017553883484,19.910991588208287,16.764575239077825,15.550462727489018
Apartment,18.269274565489575,15.338051904102262,21.827792755281923,17.97369938419898,17.774094152579142,18.27287392900413,19.841000138783446,18.598081760181994,18.54740013674648,17.080412615130026,23.078696246603204,15.786754878113896,19.906626189026586,15.294581916851062,21.332003253776115,15.764308144610961,14.165471441418859,24.73416939984219,17.42058644264258,19.27715000474022,16.185952818672174,18.24007250663447,21.478587368475797,18.31045561994435,22.784784106631964,21.200610785582253,26.26561261147981,24.285432264151986,16.847754574265632,15.428584189964797,19.662308624107872,15.744347321972512,19.43488523023044,19.43818204616892,18.033838154409874,20.56148433958213,30.64602601749273,14.519302110263645,16.659511602108648,20.09218413837919,16.35100497582619,15.485666227636303,14.86809097507484,24.21679439641991,15.565857485216409,19.84124507682568,19.053981383371415,21.13750317756873,16.25675301916561,17.706660488630575,24.23307809405194,16.71088539867793,15.095035684317029,22.568082157411418,25.521378722836914,19.65797426867939,29.46095494434269,17.946744614805862,26.16337488309979,37.94794032656557,23.53589767749062,23.091141762951455,20.51103770112863,19.082428904033222,15.34779365098152,15.992613262975853,23.768733345806595,16.48821264976667,15.615165992001744
AquaticAnimal,18.618174292590293,21.827792755281923,12.539274465608637,26.412190524872347,14.341236042236504,14.220155890091226,13.798406343479748,27.46138704027217,16.29752274325319,21.007607667746907,23.76995508754554,18.500724978539477,18.448867516968285,16.269255366782776,16.824918878956513,19.662102529587745,20.132651147273737,20.969070326175828,21.2937110487259,17.811588143299666,18.291618677196606,17.053667938023526,30.203855972670475,11.217104032137817,19.19071560545339,24.989295896152655,16.523634606429702,15.487613810556043,14.274292713173724,20.440104137122002,13.556539695895788,20.33518318146364,25.53229051131715,12.440696488009793,16.031191302371155,12.59057205672812,20.00645345027228,18.51802356527983,24.051142046561605,12.8044447700156,13.425418312157989,22.162516091139278,19.667197246882946,17.218884669240143,16.950252694202533,25.000285740007076,17.48144293481223,16.1535353630015,14.75200310353576,23.580513043776175,14.40254673942086,22.141009546006316,21.84801869429727,14.301434852726281,18.709335821287464,15.612413113714558,19.601002170835073,14.441813396453135,14.972471546090638,27.232042244837984,16.563297968539707,19.382270864849048,16.997755563558957,19.36942639522935,19.654209916585184,21.341821005494612,14.111428247362932,21.747478193715715,16.170664174320088
Bed,22.1197566395275,17.97369938419898,26.412190524872347,13.451246774408581,20.5755640808983,22.309936242005282,24.298829425973842,22.373874364631497,22.44303953333777,18.6857114883658,27.240531936214097,18.001368752729473,23.025662658819424,17.356565070588225,24.881576959642665,18.88817406564553,15.594117590012045,29.579039699472276,16.928231174436878,20.634445178840505,18.548205614014336,20.386732417480815,22.468526336520213,22.528351842196923,25.129701361726568,16.447636405045447,29.749443935738082,28.24661471483616,21.234763282633292,16.852350192204536,23.71738269266919,18.246005753806042,23.334657033021028,23.091944254133704,21.26015910276085,25.21688238796147,35.06745552742939,17.73147047760306,15.558654401689013,24.54442600978785,20.149427130203787,15.859166905854018,15.848902166360629,27.397755700162893,17.813936721714665,21.80770058110151,22.599910227333513,24.98655826226237,19.7761500832256,15.458416528091613,28.559483064805065,15.49699896970308,15.044714856035988,26.674760086587646,28.210912549787256,24.848603894810736,32.898792688630145,22.0046333050937,30.392599417909313,41.25840512950885,26.405349638791122,26.90854190101212,24.37718021086458,22.628018358443025,18.562765477297656,18.16071616242438,28.34999996540682,18.02230869580832,18.462478687280363
Bicycle,16.529478055456064,17.774094152579142,14.341236042236504,20.5755640808983,6.937373914550989,10.102556716906642,12.221364666993578,23.091576864616425,15.051289456078228,16.756233634631432,21.68136699529119,13.559029661368474,16.48726892140544,12.409840858583507,13.830872618078368,15.22812822697057,15.181413367013565,19.915131939458444,15.420946172035908,12.505595396568818,13.743997787145053,12.247368526470797,26.591066191026435,10.529004304603054,16.854241697021916,17.75213240423251,18.111140525304894,16.627931163522227,12.576004975088365,14.753429264905293,11.023959110027736,16.293981230138602,22.802900836025724,11.646743751242969,11.612638217348046,11.285286326285114,23.224851242775557,15.442459033485546,17.872651562985183,10.53943464388166,9.54985347818434,16.63592981556434,14.005462873847625,17.137639792297612,11.719384320951646,21.13930101052456,14.087905619883196,13.664451243417275,11.382677201950862,16.981246838565795,16.59129875206422,15.761971470851615,15.349428801281109,15.39599603278204,18.13639606416009,16.035320872819668,21.347163339517934,11.924825435944216,17.708084920182625,29.581182722398953,15.262583033886369,18.103299389096637,13.893660350197047,16.628345644936292,14.571654285713377,16.951383810989473,16.431023210649514,16.464270801389087,11.311719932839853
Biplane,16.514318609367653,18.272873929004128,14.220155890091226,22.309936242005282,10.102556716906642,9.258356940541256,11.473273144208497,23.72967520097175,15.085801794336637,17.032115886363027,22.50056689192652,14.875927000564245,17.310415412288656,13.384941240127395,14.153925974901242,15.429655952533432,15.750457921688037,21.65588597104874,16.495246954623408,14.321034511716816,14.676709842866826,14.516657921885262,26.95375313648155,10.115248238690032,16.92578282546073,20.061059368490454,18.959849492454758,17.05558025347031,12.191985925145863,15.580340703107826,10.557537157846596,16.439596406234315,23.004298036821215,12.1698729171928,11.446786603863654,10.88137684644475,23.46744358094028,15.20428782462057,19.652135406037285,10.327339774145887,10.180157275564563,17.877929028064017,15.43454179556027,17.77807772402673,11.800947219777122,21.997287624854852,13.239562925411384,13.22952703527415,11.332042592356935,18.292888263183237,16.746295982928064,16.885115223890764,16.671359967541374,15.140528004392767,18.73768503708507,15.540762822332399,21.77498116161415,11.751153456784634,17.66749794113272,29.28494270657285,16.536082447515483,18.30347493413286,13.344073541857275,17.960346403675945,16.00976643988855,17.81494661516722,16.73093552818514,17.554803540200506,10.77685713285937
Bird,17.381937740556708,19.841000138783446,13.798406343479748,24.298829425973842,12.221364666993578,11.473273144208497,11.848433723306956,25.35212018176739,15.908457024848811,18.62803715389391,23.33125650314606,16.66286868949044,18.077115553676883,14.901970896467896,15.071285287698641,17.274191282477076,17.67882707894046,21.919869724762776,18.767910187863457,15.879717000553185,16.474697287873084,15.968003664492562,28.31881909627757,10.836526852912392,17.892092192898716,22.415269739071228,17.98037916278842,16.597306181815746,13.119561518299989,17.524007491717235,11.785358354598001,17.985984933315557,23.783476745353255,12.694448158670017,13.344517980935098,11.423949430076075,22.09021676930337,16.64745782198513,21.82740478269894,11.133304391005288,11.918508309262815,19.67149659640057,17.558192059775696,17.613634367285634,13.96501169859454,23.602651597572915,14.83611663328821,14.257242298235964,12.898833251438926,20.70391977742819,15.96094625808853,19.244310395884494,19.159701100226773,14.707010919392445,18.717548863825765,16.0145411513037,20.84932002737252,12.967862809797728,16.304038450793264,27.857723650403948,17.014203310902822,19.04086287749557,14.556398263124708,18.917708759751516,17.918328930515145,19.23885437456749,15.822596902700832,19.36263351803584,12.935340543997848
Bookset,21.85159919047606,18.59808176018199,27.46138704027217,22.373874364631494,23.091576864616425,23.72967520097175,25.35212018176739,16.088537033240414,22.96102119212419,21.42220123116304,25.51508393296216,20.574244336058463,24.044558266789444,20.289895155398185,27.114877986951846,19.095490234165577,17.557826948020946,27.276228426663653,22.350572831928037,25.094476434095018,19.98434110957074,22.833285206785536,22.512412883004114,24.29521694362415,28.775631579270417,27.043477886216962,32.46468630028395,30.00388689867223,21.519665469875704,19.91452270784938,25.451827211670572,19.18578466625054,19.811962615117373,25.109076652807744,22.947796551306848,26.2489909531212,35.49881885729581,19.066441315485857,19.48209724298894,25.76094726055605,21.745923281074198,19.935358232842354,19.19845199089072,30.065461423495737,20.638740262826886,20.79758689413734,24.323975461642167,26.849672614001413,21.28662352251345,22.718629429725073,30.104776681727596,21.361071225669804,18.894039506160585,28.42510947652815,31.261071882295195,24.19419130822589,35.44645656217228,23.24980865805048,32.31288877878257,44.715373602385604,29.14785841149368,28.341666704093797,25.95177328716899,22.42263537336526,18.391280349682045,19.655864434772763,28.98647869294257,19.761728788554567,20.75428206894882
Bottle,15.394070675281771,18.54740013674648,16.29752274325319,22.443039533337778,15.051289456078228,15.085801794336637,15.908457024848811,22.96102119212419,12.58830199304886,19.346093048557314,20.83380366212544,14.823450539483842,14.807590973869452,13.48161673581644,18.573790170773602,18.07775573296346,17.50880194636324,20.018593538097587,19.319168431653278,17.20277491073265,15.785991957164802,16.578603970991516,25.596110908942745,12.673218563390021,19.870163315521122,23.09707767658554,20.45513900219898,19.002733885863297,13.454337977325311,17.79436535561276,15.608939031856487,17.915344230648365,20.306695778015815,14.71776723416892,16.218416652949976,16.16060759232614,23.789850448226108,15.179346893431221,20.19720687472895,15.784935504089734,13.409368213305282,19.34951678429336,16.146264206105506,20.075807020220015,15.777923504429653,21.265577661196836,17.67003602982537,17.87870869264197,13.747485566701014,21.12005757169207,17.970239004990106,19.799560127832546,19.023436452506054,17.438115655346486,21.937783657607607,15.2103974730932,23.592510397149326,14.553259194701772,20.451198550400814,32.50039601824119,19.553080608284706,19.17903892185923,18.103785448877524,16.899056078005625,16.137534009942588,18.11993847767298,17.222134428976066,17.327634134431758,14.903486565213354
BuildingNonResidential,19.03496097196209,17.080412615130026,21.007607667746903,18.685711488365804,16.75623363463143,17.032115886363027,18.628037153893914,21.422201231163044,19.346093048557314,16.70150347333735,24.635546662811258,16.54735210789535,20.921950038570284,15.885769295318237,19.88626388411769,16.27213659763768,15.333448012026954,26.817641379070903,17.342892712462895,18.26599186572562,17.357723801729527,18.62832007360757,22.562193886863994,17.280559689899498,21.595155435893343,19.931057513105234,25.913760913115006,24.10370381105677,17.332078533531476,15.06932995265038,18.23913099727667,16.370437473134107,21.031028035899418,19.046210864851986,17.301083341700792,19.139590773446656,30.738543819162015,15.374280907838232,17.9513013779528,18.630484038154737,16.096138403022987,15.473173641525234,16.160730082315446,23.796639087532014,14.785401745490296,22.09721451524091,18.029929632034452,19.70588258512102,16.14500087695022,17.238524662529464,23.981854137554826,16.414079171477795,15.927458487764321,21.950015208147494,24.692752989754844,20.57499934244347,28.82369033394295,17.33550639553026,25.265016615537938,36.20566341375017,23.41664464606186,23.26784887835979,19.134960407985684,20.371811234211783,16.781544911997358,16.649941068813693,23.99450956910985,17.50555558699083,14.819988596785233
