,TP,TN,FP,FN,Class
0,2.0,2373.0,31.0,13.0,AircraftBuoyant
1,2.0,2380.0,24.0,13.0,AircraftBuoyant
2,1.0,2385.0,19.0,14.0,AircraftBuoyant
3,9.0,732.0,1672.0,6.0,AircraftBuoyant
4,9.0,798.0,1606.0,6.0,AircraftBuoyant
5,10.0,2039.0,365.0,5.0,AircraftBuoyant
6,5.0,2334.0,70.0,10.0,AircraftBuoyant
7,7.0,2155.0,249.0,8.0,AircraftBuoyant
8,1.0,911.0,1493.0,14.0,AircraftBuoyant
9,9.0,1063.0,1341.0,6.0,AircraftBuoyant
10,9.0,1083.0,1321.0,6.0,AircraftBuoyant
11,8.0,799.0,1605.0,7.0,AircraftBuoyant
12,9.0,1362.0,1042.0,6.0,AircraftBuoyant
13,8.0,1739.0,665.0,7.0,AircraftBuoyant
14,9.0,1488.0,916.0,6.0,AircraftBuoyant
15,0,2348.0,48,23.0,Apartment
16,5.0,632.0,1764.0,18.0,Apartment
17,2.0,2263.0,133.0,21.0,Apartment
18,1.0,2388.0,8.0,22.0,Apartment
19,1.0,2337.0,59.0,22.0,Apartment
20,7.0,2289.0,107.0,16.0,Apartment
21,6.0,2310.0,86.0,17.0,Apartment
22,9.0,1772.0,624.0,14.0,Apartment
23,8.0,2147.0,249.0,15.0,Apartment
24,8.0,1507.0,889.0,15.0,Apartment
25,8.0,2311.0,85.0,15.0,Apartment
26,1.0,2388.0,8.0,22.0,Apartment
27,1.0,2386.0,10.0,22.0,Apartment
28,8.0,1841.0,555.0,15.0,Apartment
29,3.0,2314.0,82.0,20.0,Apartment
30,3.0,1974.0,422.0,20.0,Apartment
31,9.0,1802.0,594.0,14.0,Apartment
32,9.0,2006.0,390.0,14.0,Apartment
33,7.0,2141.0,255.0,16.0,Apartment
34,5.0,1972.0,424.0,18.0,Apartment
35,2.0,2356.0,40.0,21.0,Apartment
36,5.0,1852.0,544.0,18.0,Apartment
37,0,2354.0,42,23.0,Apartment
38,27.0,735.0,1655.0,2.0,AquaticAnimal
39,27.0,731.0,1659.0,2.0,AquaticAnimal
40,27.0,714.0,1676.0,2.0,AquaticAnimal
41,27.0,757.0,1633.0,2.0,AquaticAnimal
42,27.0,759.0,1631.0,2.0,AquaticAnimal
43,27.0,758.0,1632.0,2.0,AquaticAnimal
44,0,2389.0,1,29.0,AquaticAnimal
45,27.0,729.0,1661.0,2.0,AquaticAnimal
46,27.0,700.0,1690.0,2.0,AquaticAnimal
47,27.0,731.0,1659.0,2.0,AquaticAnimal
48,27.0,704.0,1686.0,2.0,AquaticAnimal
49,27.0,727.0,1663.0,2.0,AquaticAnimal
50,27.0,775.0,1615.0,2.0,AquaticAnimal
51,27.0,655.0,1735.0,2.0,AquaticAnimal
52,27.0,764.0,1626.0,2.0,AquaticAnimal
53,27.0,759.0,1631.0,2.0,AquaticAnimal
54,27.0,755.0,1635.0,2.0,AquaticAnimal
55,27.0,734.0,1656.0,2.0,AquaticAnimal
56,27.0,697.0,1693.0,2.0,AquaticAnimal
57,27.0,729.0,1661.0,2.0,AquaticAnimal
58,27.0,660.0,1730.0,2.0,AquaticAnimal
59,27.0,788.0,1602.0,2.0,AquaticAnimal
60,27.0,777.0,1613.0,2.0,AquaticAnimal
61,27.0,755.0,1635.0,2.0,AquaticAnimal
62,27.0,720.0,1670.0,2.0,AquaticAnimal
63,27.0,754.0,1636.0,2.0,AquaticAnimal
64,27.0,781.0,1609.0,2.0,AquaticAnimal
65,27.0,781.0,1609.0,2.0,AquaticAnimal
66,27.0,796.0,1594.0,2.0,AquaticAnimal
67,21.0,2136.0,256.0,6.0,Bed
68,21.0,2102.0,290.0,6.0,Bed
69,16.0,2299.0,93.0,11.0,Bed
70,0,2387.0,5,27.0,Bed
71,5.0,2359.0,33.0,22.0,Bed
72,16.0,1384.0,1008.0,11.0,Bed
73,16.0,1317.0,1075.0,11.0,Bed
74,12.0,2321.0,71.0,15.0,Bed
75,18.0,1780.0,612.0,9.0,Bed
76,22.0,2215.0,177.0,5.0,Bed
77,21.0,2119.0,273.0,6.0,Bed
78,22.0,2105.0,287.0,5.0,Bed
79,21.0,2080.0,312.0,6.0,Bed
80,21.0,2267.0,125.0,6.0,Bed
81,18.0,1714.0,678.0,9.0,Bed
82,22.0,2231.0,161.0,5.0,Bed
83,2.0,2197.0,195.0,25.0,Bed
84,11.0,2328.0,64.0,16.0,Bed
85,18.0,2302.0,90.0,9.0,Bed
86,23.0,2113.0,279.0,4.0,Bed
87,23.0,2075.0,317.0,4.0,Bed
88,16.0,1275.0,1117.0,11.0,Bed
89,20.0,2136.0,256.0,7.0,Bed
90,23.0,2169.0,223.0,4.0,Bed
91,21.0,2230.0,162.0,6.0,Bed
92,14.0,2216.0,176.0,13.0,Bed
93,15.0,2243.0,149.0,12.0,Bed
94,25.0,877.0,1516.0,1.0,Bicycle
95,25.0,888.0,1505.0,1.0,Bicycle
96,25.0,822.0,1571.0,1.0,Bicycle
97,25.0,859.0,1534.0,1.0,Bicycle
98,25.0,793.0,1600.0,1.0,Bicycle
99,25.0,858.0,1535.0,1.0,Bicycle
100,25.0,860.0,1533.0,1.0,Bicycle
101,25.0,801.0,1592.0,1.0,Bicycle
102,25.0,845.0,1548.0,1.0,Bicycle
103,25.0,834.0,1559.0,1.0,Bicycle
104,25.0,881.0,1512.0,1.0,Bicycle
105,25.0,881.0,1512.0,1.0,Bicycle
106,25.0,827.0,1566.0,1.0,Bicycle
107,25.0,758.0,1635.0,1.0,Bicycle
108,25.0,825.0,1568.0,1.0,Bicycle
109,25.0,793.0,1600.0,1.0,Bicycle
110,25.0,814.0,1579.0,1.0,Bicycle
111,25.0,775.0,1618.0,1.0,Bicycle
112,25.0,805.0,1588.0,1.0,Bicycle
113,25.0,765.0,1628.0,1.0,Bicycle
114,25.0,868.0,1525.0,1.0,Bicycle
115,25.0,899.0,1494.0,1.0,Bicycle
116,25.0,764.0,1629.0,1.0,Bicycle
117,25.0,882.0,1511.0,1.0,Bicycle
118,25.0,803.0,1590.0,1.0,Bicycle
119,25.0,905.0,1488.0,1.0,Bicycle
120,43.0,834.0,1541.0,1.0,Biplane
121,43.0,740.0,1635.0,1.0,Biplane
122,43.0,843.0,1532.0,1.0,Biplane
123,43.0,783.0,1592.0,1.0,Biplane
124,43.0,914.0,1461.0,1.0,Biplane
125,43.0,726.0,1649.0,1.0,Biplane
126,43.0,876.0,1499.0,1.0,Biplane
127,43.0,832.0,1543.0,1.0,Biplane
128,43.0,759.0,1616.0,1.0,Biplane
129,43.0,755.0,1620.0,1.0,Biplane
130,43.0,829.0,1546.0,1.0,Biplane
131,43.0,754.0,1621.0,1.0,Biplane
132,43.0,744.0,1631.0,1.0,Biplane
133,43.0,806.0,1569.0,1.0,Biplane
134,43.0,765.0,1610.0,1.0,Biplane
135,43.0,763.0,1612.0,1.0,Biplane
136,43.0,714.0,1661.0,1.0,Biplane
137,43.0,861.0,1514.0,1.0,Biplane
138,43.0,853.0,1522.0,1.0,Biplane
139,43.0,838.0,1537.0,1.0,Biplane
140,43.0,828.0,1547.0,1.0,Biplane
141,43.0,744.0,1631.0,1.0,Biplane
142,43.0,791.0,1584.0,1.0,Biplane
143,43.0,868.0,1507.0,1.0,Biplane
