,Unnamed: 0,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors
0,0,../shapes\AircraftBuoyant\m1337.obj,201,[0.45806434 0.51589742 0.45660967],[0.45806432 0.5158974  0.45660958],[1. 1. 1.],0.4403466,1.547999033808513,[0.025    0.889234 0.025    0.975    0.025    0.889234],[0. 0. 0.],340,AircraftBuoyant,Triangle,[0.10504596 0.04645249 0.04645206],"[[ 1.37933137e-03 -8.60535996e-01  5.09387767e-01]
 [-9.99998671e-01 -1.62949098e-03 -4.49679127e-05]
 [-8.68739279e-04  5.09387028e-01  8.60537100e-01]]"
1,1,../shapes\AircraftBuoyant\m1338.obj,8761,[0.47991081 0.54983541 0.48093688],[0.4799102  0.5498328  0.48093763],[1. 1. 1.],0.43517974,1.600143063539791,[0.025    0.933058 0.025    0.975    0.025    0.937901],[0. 0. 0.],16960,AircraftBuoyant,Triangle,[0.09733962 0.04685405 0.04683994],"[[ 1.08941545e-03 -9.99859181e-01  1.67460613e-02]
 [-9.99999204e-01 -1.09992458e-03 -6.18360358e-04]
 [-6.36692685e-04  1.67453743e-02  9.99859584e-01]]"
2,2,../shapes\AircraftBuoyant\m1339.obj,1878,[0.31299033 0.35299274 0.32617148],[0.3129901  0.35299188 0.32617152],[1. 1. 1.],0.23194091,1.266288125186149,[0.025    0.607072 0.025    0.975    0.025    0.626812],[0. 0. 0.],6173,AircraftBuoyant,Triangle,[0.06554274 0.00866799 0.00892623],"[[ 0.00532142  0.9999363   0.00995386]
 [ 0.99998422 -0.00533906  0.00174674]
 [-0.00179977 -0.0099444   0.99994893]]"
3,3,../shapes\AircraftBuoyant\m1340.obj,778,[0.19554008 0.3116706  0.1938877 ],[0.19553997 0.31167057 0.19388752],[1. 1. 1.],0.25349468,1.066475287734142,[0.025    0.367686 0.025    0.975    0.025    0.367689],[0. 0. 0.],1457,AircraftBuoyant,Triangle,[0.08524597 0.00322742 0.00317761],"[[ 0.00116887  0.99997913 -0.00635391]
 [ 0.99999145 -0.00119405 -0.00395971]
 [ 0.00396722  0.00634922  0.99997197]]"
4,4,../shapes\AircraftBuoyant\m1341.obj,425,[0.20235557 0.39406215 0.20228764],[0.20235543 0.39406213 0.2022876 ],[1. 1. 1.],0.27919862,1.0742192343342958,[0.025    0.379575 0.025    0.975    0.025    0.379575],[0. 0. 0.],824,AircraftBuoyant,Triangle,[0.08771655 0.00299744 0.00286422],"[[-2.07843352e-04 -9.99999978e-01  1.48961295e-06]
 [-9.99999978e-01  2.07843352e-04 -1.29210812e-08]
 [-1.26114748e-08  1.48961560e-06  1.00000000e+00]]"
5,5,../shapes\AircraftBuoyant\m1342.obj,1252,[0.3500422  0.23383409 0.30815935],[0.35004213 0.23383431 0.3081591 ],[1. 1. 1.],0.25123128,1.2601829338176036,[0.025    0.611587 0.025    0.975    0.025    0.60936 ],[0. 0. 0.],2305,AircraftBuoyant,Triangle,[0.08185583 0.00747886 0.00791175],"[[ 0.0603678  -0.98356146 -0.17018394]
 [-0.99801767 -0.05643591 -0.02785187]
 [-0.01778954 -0.17152794  0.98501863]]"
6,6,../shapes\AircraftBuoyant\m1343.obj,178,[0.36796014 0.48557646 0.36796015],[0.36796033 0.4855771  0.36796024],[1. 1. 1.],0.3590039,1.3577464283597518,[0.025    0.710921 0.025    0.975    0.025    0.710921],[0. 0. 0.],344,AircraftBuoyant,Triangle,[0.02722419 0.08290806 0.02728586],"[[ 1.00000000e+00  3.46260118e-07  4.10395718e-11]
 [ 3.46260118e-07 -1.00000000e+00 -2.90975401e-07]
 [-4.09388186e-11 -2.90975401e-07  1.00000000e+00]]"
7,7,../shapes\AircraftBuoyant\m1344.obj,1093,[0.35005955 0.29013131 0.34940063],[0.35006022 0.29013172 0.34940135],[1. 1. 1.],0.31204855,1.3210452252474445,[0.025    0.674099 0.025    0.975    0.025    0.6741  ],[0. 0. 0.],1930,AircraftBuoyant,Triangle,[0.10835615 0.01093409 0.0108532 ],"[[ 1.01636442e-03 -9.99970329e-01  7.63602075e-03]
 [-9.99999434e-01 -1.01874947e-03 -3.08459073e-04]
 [-3.16229113e-04  7.63570291e-03  9.99970798e-01]]"
8,8,../shapes\AircraftBuoyant\m1345.obj,3174,[0.31304833 0.58999737 0.3130726 ],[0.3130477  0.58999914 0.31307226],[1. 1. 1.],0.34617567,1.2516750746945922,[0.025    0.601277 0.025    0.975    0.025    0.601277],[0. 0. 0.],6000,AircraftBuoyant,Triangle,[0.09119675 0.02040059 0.02041466],"[[ 1.11849481e-03  9.99225416e-01 -3.93359515e-02]
 [ 9.99998882e-01 -1.15666386e-03 -9.47590311e-04]
 [ 9.92354796e-04  3.93348477e-02  9.99225593e-01]]"
9,9,../shapes\AircraftBuoyant\m1346.obj,742,[0.16901234 0.18214096 0.45696178],[0.16901234 0.18214102 0.45696062],[1. 1. 1.],0.2904423,1.048558341166037,[0.025    0.322079 0.025    0.354725 0.025    0.975   ],[0. 0. 0.],1375,AircraftBuoyant,Triangle,[0.0897768  0.00387209 0.00622558],"[[ 0.00155137  0.99991205  0.01317147]
 [ 0.01050078 -0.01318705  0.99985791]
 [-0.99994366  0.00141284  0.01052031]]"
10,10,../shapes\AircraftBuoyant\m1347.obj,3055,[0.16829789 0.14597533 0.53549427],[0.168298   0.14597483 0.5354932 ],[1. 1. 1.],0.23679827,1.068105537472282,[0.025    0.312086 0.025    0.419881 0.025    0.975   ],[0. 0. 0.],6274,AircraftBuoyant,Triangle,[0.00287793 0.01239918 0.06318696],"[[-9.99975853e-01  6.93630817e-03 -4.25818242e-04]
 [ 6.94043811e-03  9.99919568e-01 -1.06154395e-02]
 [-3.52152033e-04  1.06181385e-02  9.99943564e-01]]"
11,11,../shapes\AircraftBuoyant\m1348.obj,795,[0.16873636 0.17566178 0.46068733],[0.16873623 0.17566162 0.460686  ],[1. 1. 1.],0.27836737,1.0485223419531131,[0.025    0.321693 0.025    0.354958 0.025    0.975   ],[0. 0. 0.],1382,AircraftBuoyant,Triangle,[0.08403906 0.00363696 0.00639012],"[[ 0.00150281  0.99990749  0.01351893]
 [ 0.01486452 -0.01353978  0.99979784]
 [-0.99988839  0.00130156  0.01488349]]"
12,12,../shapes\AircraftBuoyant\m1349.obj,432,[0.48583104 0.13479902 0.14961127],[0.4858333  0.13479899 0.1496112 ],[1. 1. 1.],0.22064294,1.0459790209033155,[0.025    0.975    0.025    0.385203 0.025    0.273648],[0. 0. 0.],640,AircraftBuoyant,Triangle,[0.05090461 0.0106754  0.00553908],"[[-9.98584858e-01  5.31815891e-02 -1.52747296e-05]
 [ 5.31815625e-02  9.98584574e-01  7.54558793e-04]
 [-5.53817450e-05 -7.52678651e-04  9.99999715e-01]]"
13,13,../shapes\AircraftBuoyant\m1350.obj,1097,[0.38388216 0.15815833 0.07356281],[0.38388136 0.15815854 0.07356288],[1. 1. 1.],0.15819034,1.0255911185049993,[0.025    0.975    0.025    0.291317 0.025    0.305022],[0. 0. 0.],1976,AircraftBuoyant,Triangle,[0.03387364 0.00393676 0.00603303],"[[-9.91325458e-01 -1.31429970e-01  1.10155605e-07]
 [-5.73168086e-08 -4.05813027e-07 -1.00000000e+00]
 [-1.31429970e-01  9.91325458e-01 -3.94759638e-07]]"
14,14,../shapes\AircraftBuoyant\m1351.obj,12987,[0.11664972 0.08584329 0.32030777],[0.1166516  0.08584314 0.32030678],[1. 1. 1.],0.17848662,0.986827907504765,[0.025    0.2083   0.025    0.219243 0.025    0.975   ],[0. 0. 0.],24466,AircraftBuoyant,Triangle,[0.00428565 0.03588715 0.00167125],"[[ 1.00000000e+00 -2.52172401e-06 -2.72614553e-06]
 [ 2.55111923e-06 -6.69796964e-02  9.97754339e-01]
 [ 2.69865747e-06  9.97754339e-01  6.69796964e-02]]"
15,15,../shapes\AircraftBuoyant\m1352.obj,3298,[0.46863493 0.18617714 0.17864334],[0.46863344 0.18617718 0.17864327],[1. 1. 1.],0.27261302,1.0586703243479876,[0.025    0.975    0.025    0.376642 0.025    0.332621],[0. 0. 0.],6348,AircraftBuoyant,Triangle,[0.07047498 0.01012987 0.00495225],"[[ 0.99999658 -0.0023833  -0.00107235]
 [-0.00238531 -0.99999539 -0.0018792 ]
 [ 0.00106786 -0.00188176  0.99999766]]"
