,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type
0,../shapes\AircraftBuoyant\m1337.obj,201,[0.45806434 0.51589742 0.45660967],[0.45806432 0.5158974  0.45660958],[1. 1. 1.],0.4403466,1.547999033808513,[0.025    0.889234 0.025    0.975    0.025    0.889234],[0. 0. 0.],340,AircraftBuoyant,Triangle
1,../shapes\AircraftBuoyant\m1338.obj,8761,[0.47991081 0.54983541 0.48093688],[0.4799102  0.5498328  0.48093763],[1. 1. 1.],0.43517974,1.600143063539791,[0.025    0.933058 0.025    0.975    0.025    0.937901],[0. 0. 0.],16960,AircraftBuoyant,Triangle
2,../shapes\AircraftBuoyant\m1339.obj,1878,[0.31299033 0.35299274 0.32617148],[0.3129901  0.35299188 0.32617152],[1. 1. 1.],0.23194091,1.266288125186149,[0.025    0.607072 0.025    0.975    0.025    0.626812],[0. 0. 0.],6173,AircraftBuoyant,Triangle
3,../shapes\AircraftBuoyant\m1340.obj,778,[0.19554008 0.3116706  0.1938877 ],[0.19553997 0.31167057 0.19388752],[1. 1. 1.],0.25349468,1.0664752877341421,[0.025    0.367686 0.025    0.975    0.025    0.367689],[0. 0. 0.],1457,AircraftBuoyant,Triangle
4,../shapes\AircraftBuoyant\m1341.obj,425,[0.20235557 0.39406215 0.20228764],[0.20235543 0.39406213 0.2022876 ],[1. 1. 1.],0.27919862,1.0742192343342958,[0.025    0.379575 0.025    0.975    0.025    0.379575],[0. 0. 0.],824,AircraftBuoyant,Triangle
5,../shapes\AircraftBuoyant\m1342.obj,1252,[0.3500422  0.23383409 0.30815935],[0.35004213 0.23383431 0.3081591 ],[1. 1. 1.],0.25123128,1.2601829338176036,[0.025    0.611587 0.025    0.975    0.025    0.60936 ],[0. 0. 0.],2305,AircraftBuoyant,Triangle
6,../shapes\AircraftBuoyant\m1343.obj,178,[0.36796014 0.48557646 0.36796015],[0.36796033 0.4855771  0.36796024],[1. 1. 1.],0.3590039,1.3577464283597518,[0.025    0.710921 0.025    0.975    0.025    0.710921],[0. 0. 0.],344,AircraftBuoyant,Triangle
7,../shapes\AircraftBuoyant\m1344.obj,1093,[0.35005955 0.29013131 0.34940063],[0.35006022 0.29013172 0.34940135],[1. 1. 1.],0.31204855,1.3210452252474445,[0.025    0.674099 0.025    0.975    0.025    0.6741  ],[0. 0. 0.],1930,AircraftBuoyant,Triangle
8,../shapes\AircraftBuoyant\m1345.obj,3174,[0.31304833 0.58999737 0.3130726 ],[0.3130477  0.58999914 0.31307226],[1. 1. 1.],0.34617567,1.2516750746945922,[0.025    0.601277 0.025    0.975    0.025    0.601277],[0. 0. 0.],6000,AircraftBuoyant,Triangle
9,../shapes\AircraftBuoyant\m1346.obj,742,[0.16901234 0.18214096 0.45696178],[0.16901234 0.18214102 0.45696062],[1. 1. 1.],0.2904423,1.048558341166037,[0.025    0.322079 0.025    0.354725 0.025    0.975   ],[0. 0. 0.],1375,AircraftBuoyant,Triangle
