,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Distribution
0,../shapes/AircraftBuoyant/m1337.obj,201,[0.45806434 0.51589741 0.45660967],[0.45806434 0.51589741 0.45660967],[1. 1. 1.],0.4403466122066284,1.5479989707722677,[0.025    0.889234 0.025    0.975    0.025    0.889234],[0. 0. 0.],340,AircraftBuoyant,Triangle,"[[ 1.37932984e-03 -8.60879106e-01  5.08807688e-01]
 [-9.99998671e-01 -1.62945564e-03 -4.60612164e-05]
 [-8.68732693e-04  5.08806948e-01  8.60880209e-01]]",[0.10504595 0.04645249 0.04645206],13.599631075722254
1,../shapes/AircraftBuoyant/m1349.obj,432,[0.48583103 0.13479902 0.14961127],[0.48583103 0.13479902 0.14961127],[1. 1. 1.],0.22064304134218482,1.0459789812003872,[0.025    0.975    0.025    0.385203 0.025    0.273648],[0. 0. 0.],640,AircraftBuoyant,Triangle,"[[-9.98584858e-01  5.31815923e-02 -1.52739690e-05]
 [ 5.31815657e-02  9.98584574e-01  7.54565085e-04]
 [-5.53813225e-05 -7.52684974e-04  9.99999715e-01]]",[0.0509046  0.0106754  0.00553908],234.78912127496903
2,../shapes/AircraftBuoyant/m1344.obj,1093,[0.35005955 0.29013131 0.34940063],[0.35005955 0.29013131 0.34940063],[1. 1. 1.],0.31204835739236825,1.3210451626651527,[0.025    0.674099 0.025    0.975    0.025    0.6741  ],[0. 0. 0.],1930,AircraftBuoyant,Triangle,"[[ 1.01636165e-03 -9.99970331e-01  7.63572930e-03]
 [-9.99999434e-01 -1.01874660e-03 -3.08458435e-04]
 [-3.16228156e-04  7.63541147e-03  9.99970800e-01]]",[0.10835615 0.01093409 0.0108532 ],1073.4733712102554
3,../shapes/AircraftBuoyant/m1352.obj,3298,[0.46863493 0.18617714 0.17864334],[0.46863493 0.18617714 0.17864334],[1. 1. 1.],0.27261305909359895,1.058670286635551,[0.025    0.975    0.025    0.376642 0.025    0.332621],[0. 0. 0.],6348,AircraftBuoyant,Triangle,"[[ 0.99999658 -0.0023833  -0.00107235]
 [-0.00238531 -0.99999539 -0.00187921]
 [ 0.00106786 -0.00188176  0.99999766]]",[0.07047498 0.01012987 0.00495225],765.9909295913166
4,../shapes/AircraftBuoyant/m1338.obj,8761,[0.47991081 0.54983541 0.48093688],[0.47991081 0.54983541 0.48093688],[1. 1. 1.],0.43517978135911617,1.6001429833502379,[0.025    0.933058 0.025    0.975    0.025    0.937901],[0. 0. 0.],16960,AircraftBuoyant,Triangle,"[[ 1.08941512e-03 -9.99859261e-01  1.67413076e-02]
 [-9.99999204e-01 -1.09992129e-03 -6.18364268e-04]
 [-6.36691361e-04  1.67406207e-02  9.99859663e-01]]",[0.09733962 0.04685405 0.04683994],86.20736991545172
5,../shapes/AircraftBuoyant/m1351.obj,12987,[0.11664972 0.08584329 0.32030777],[0.11664972 0.08584329 0.32030777],[1. 1. 1.],0.17848667943330296,0.9868278639403125,[0.025    0.2083   0.025    0.219243 0.025    0.975   ],[0. 0. 0.],24466,AircraftBuoyant,Triangle,"[[ 1.00000000e+00 -2.52304108e-06 -2.72694628e-06]
 [ 2.55182995e-06 -6.69796966e-02  9.97754339e-01]
 [ 2.70002522e-06  9.97754339e-01  6.69796966e-02]]",[0.00428565 0.03588715 0.00167125],47286.84305608665
6,../shapes/Apartment/D00953.obj,4158,[-0.19526575  0.01745154 -0.02631714],[-0.19526575  0.01745154 -0.02631714],[1. 1. 1.],0.4534347997777283,2.55019784914367,[-0.949201  0.665321 -0.826799  0.896079 -0.444887  0.51871 ],[0. 0. 0.],7140,Apartment,Triangle,"[[-0.24319934  0.9465329  -0.21196592]
 [-0.07441019  0.19967721  0.97703231]
 [-0.96711799 -0.25338603 -0.02187032]]",[0.03380305 0.105283   0.08755189],415.64674295201786
7,../shapes/Apartment/D00366.obj,1294,[-0.02215598 -0.07962717  0.02382457],[-0.02215598 -0.07962717  0.02382457],[1. 1. 1.],0.6026212928930581,2.4926391816921676,[-0.895467  0.745644 -0.856715  0.59104  -0.663917  0.529402],[0. 0. 0.],2540,Apartment,Triangle,"[[ 0.99661581  0.07339569  0.03701341]
 [ 0.08181126 -0.92941841 -0.35984488]
 [-0.00798988 -0.36165521  0.93227768]]",[0.20970553 0.1047377  0.08072606],47.60979517269761
8,../shapes/Apartment/D00639.obj,4849,[ 0.1916355  -0.02615515 -0.12254833],[ 0.1916355  -0.02615515 -0.12254833],[1. 1. 1.],0.5544279573820372,2.2844846660796394,[-0.542818  1.14108  -0.544259  0.500059 -0.687879  0.449116],[0. 0. 0.],7980,Apartment,Triangle,"[[ 0.98329075  0.18155036  0.01337046]
 [ 0.03728557 -0.12896214 -0.99094831]
 [ 0.17818274 -0.97488883  0.13357649]]",[0.19643149 0.05736936 0.08108464],252.08786408532373
9,../shapes/Apartment/D00626.obj,73184,[-0.0440093  -0.0454781   0.05155436],[-0.0440093  -0.0454781   0.05155436],[1. 1. 1.],0.5545274033690026,2.2084969475285674,[-0.885934  0.906987 -0.597769  0.33114  -0.512373  0.382066],[0. 0. 0.],64688,Apartment,Triangle,"[[ 9.99660294e-01 -2.60456588e-02  9.59735326e-04]
 [-2.55284030e-02 -9.85901061e-01 -1.65370488e-01]
 [-5.25338739e-03 -1.65289810e-01  9.86231048e-01]]",[0.25056353 0.06264458 0.0446895 ],68345.87268189216
10,../shapes/AquaticAnimal/m68.obj,553,[0.52110382 0.13168083 0.10688983],[0.52110382 0.13168083 0.10688983],[1. 1. 1.],0.19688174778348566,0.9965718179142936,[0.025    0.975    0.025    0.278519 0.025    0.18743 ],[0. 0. 0.],1098,AquaticAnimal,Triangle,"[[ 0.9997534  -0.02195357  0.00334242]
 [-0.02192962 -0.99973471 -0.00704316]
 [-0.00349616 -0.00696812  0.99996961]]",[0.04762117 0.00347412 0.00129308],62.40084787138822
11,../shapes/AquaticAnimal/m78.obj,468,[0.34534002 0.24435991 0.26694712],[0.34534002 0.24435991 0.26694712],[1. 1. 1.],0.2729708964731486,1.1431424413698408,[0.025    0.975    0.025    0.51665  0.025    0.428181],[0. 0. 0.],734,AquaticAnimal,Triangle,"[[ 0.98575399  0.16155318  0.04679359]
 [ 0.06926358 -0.64344234  0.76235458]
 [-0.15326978  0.74825298  0.64546561]]",[0.08649475 0.003446   0.00276548],278.8637311894396
