,New Path,Orig Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Prev Eigenvalue,Prev Eigenvectors,FlippingMomentumBefore,FlippingMomentumAfter
0,../normshapes/AircraftBuoyant/m1337.obj,../shapes/AircraftBuoyant/m1337.obj,6653,[-2.13485324e-10 -5.11641009e-11  1.42869523e-09],[-2.13485324e-10 -5.11641009e-11  1.42869523e-09],[1.04596424 1.04596424 1.04596424],0.45185152,1.6388452,[-0.4572874   0.45749968 -0.4554811   0.46591893 -0.42578238  0.57421756],[0. 0. 0.],13184,AircraftBuoyant,Triangle,[0.06524698 0.06555974 0.07463892],"[[ 1.00000000e+00  3.79785067e-06 -5.43570409e-09]
 [ 3.79785067e-06 -1.00000000e+00 -2.73565237e-08]
 [ 5.43580798e-09 -2.73565029e-08  1.00000000e+00]]",[0.10504595 0.04645249 0.04645206],"[[ 1.37932984e-03 -8.60879106e-01  5.08807688e-01]
 [-9.99998671e-01 -1.62945564e-03 -4.60612164e-05]
 [-8.68732693e-04  5.08806948e-01  8.60880209e-01]]","[np.float64(88.30131112660229), np.float64(144.9856320654222), np.float64(87.9379831707377)]","[np.float32(0.16226102), np.float32(9.388828), np.float32(57.114902)]"
1,../normshapes/AircraftBuoyant/m1338.obj,../shapes/AircraftBuoyant/m1338.obj,7934,[ 6.52084087e-10 -1.79643050e-09  2.70213673e-09],[ 6.52084087e-10 -1.79643050e-09  2.70213673e-09],[-1.05210423 -1.05210423 -1.05210423],0.4553125,1.6837815,[-0.47674766  0.47859475 -0.4799671   0.48047096 -0.41921237  0.58078766],[0. 0. 0.],15485,AircraftBuoyant,Triangle,[0.05488081 0.05521782 0.0987175 ],"[[ 1.00000000e+00  3.96080219e-08  9.36613461e-11]
 [ 3.96080219e-08 -1.00000000e+00 -4.26519327e-10]
 [-9.36613292e-11 -4.26519490e-10  1.00000000e+00]]",[0.09733962 0.04685405 0.04683994],"[[ 1.08941512e-03 -9.99859261e-01  1.67413076e-02]
 [-9.99999204e-01 -1.09992129e-03 -6.18364268e-04]
 [-6.36691361e-04  1.67406207e-02  9.99859663e-01]]","[np.float64(4717.442047478554), np.float64(6986.4027159712205), np.float64(4734.5021837976365)]","[np.float32(1.6927156), np.float32(0.08488691), np.float32(60.369427)]"
2,../normshapes/AircraftBuoyant/m1339.obj,../shapes/AircraftBuoyant/m1339.obj,6395,[ 1.51505818e-10  7.38988978e-11 -8.56066759e-10],[ 1.51505818e-10  7.38988978e-11 -8.56066759e-10],[1.05258262 1.05258262 1.05258262],0.34098643,1.333192,[-0.31632146  0.31729499 -0.30596617  0.3071661  -0.47129932  0.5287006 ],[0. 0. 0.],23788,AircraftBuoyant,Triangle,[0.01871391 0.01878863 0.09122561],"[[ 1.00000000e+00 -6.96231161e-07 -2.55665866e-10]
 [-6.96231161e-07 -1.00000000e+00 -1.09546100e-10]
 [ 2.55665789e-10 -1.09545994e-10  1.00000000e+00]]",[0.06554274 0.00866799 0.00892623],"[[ 0.00532142  0.9999363   0.00995422]
 [ 0.99998422 -0.00533906  0.00174673]
 [-0.00179977 -0.00994477  0.99994893]]","[np.float64(668.3143783502866), np.float64(1280.684324623744), np.float64(721.8891342755979)]","[np.float32(0.9018186), np.float32(1.3299277), np.float32(372.43866)]"
3,../normshapes/AircraftBuoyant/m1340.obj,../shapes/AircraftBuoyant/m1340.obj,5981,[-2.33019811e-11  7.26778988e-11  4.27204837e-10],[-2.33019811e-11  7.26778988e-11  4.27204837e-10],[-1.05264199 -1.05264199 -1.05264199],0.3098881,1.1207852,[-0.17900914  0.17887342 -0.17890455  0.17897762 -0.39234313  0.60765684],[0. 0. 0.],11949,AircraftBuoyant,Triangle,[0.00790169 0.0079439  0.0961593 ],"[[ 1.00000000e+00 -5.04583750e-07  1.18851268e-10]
 [-5.04583750e-07 -1.00000000e+00  1.17559253e-10]
 [-1.18851208e-10  1.17559133e-10  1.00000000e+00]]",[0.08524597 0.00322742 0.00317761],"[[ 0.00116888  0.99997913 -0.00635402]
 [ 0.99999145 -0.00119405 -0.00395971]
 [ 0.00396722  0.00634934  0.99997197]]","[np.float64(60.33908690896168), np.float64(277.6161541755325), np.float64(59.30006564029277)]","[np.float32(0.17187858), np.float32(0.033111688), np.float32(318.67325)]"
4,../normshapes/AircraftBuoyant/m1341.obj,../shapes/AircraftBuoyant/m1341.obj,6105,[ 6.15662061e-11 -1.01899161e-10  5.82386478e-10],[ 6.15662061e-11 -1.01899161e-10  5.82386478e-10],[1.05263162 1.05263162 1.05263162],0.24738903,1.130757,[-0.18661885  0.186618   -0.18659937  0.18663748 -0.35629776  0.64370227],[0. 0. 0.],12194,AircraftBuoyant,Triangle,[0.00752722 0.06406191 0.00754919],"[[ 1.00000000e+00  2.90277136e-10 -2.84973907e-07]
 [ 2.84973907e-07  5.64649735e-10  1.00000000e+00]
 [-2.90277297e-10  1.00000000e+00 -5.64649660e-10]]",[0.08771655 0.00299744 0.00286422],"[[-2.07842920e-04 -9.99999978e-01  1.51565623e-06]
 [-9.99999978e-01  2.07842920e-04 -1.22730395e-08]
 [-1.19580208e-08  1.51565874e-06  1.00000000e+00]]","[np.float64(36.02686909402769), np.float64(199.27876078139917), np.float64(35.941125874888165)]","[np.float32(0.0021448326), np.float32(0.0119412495), np.float32(185.65645)]"
5,../normshapes/AircraftBuoyant/m1342.obj,../shapes/AircraftBuoyant/m1342.obj,6971,[2.49653752e-11 3.17285922e-11 5.65448682e-10],[2.49653752e-11 3.17285922e-11 5.65448682e-10],[-1.04842174 -1.04842174 -1.04842174],0.33054918,1.3266379,[-0.30737498  0.3055711  -0.29968673  0.3202047  -0.4532029   0.54679704],[0. 0. 0.],13868,AircraftBuoyant,Triangle,[0.02341896 0.02365162 0.07065458],"[[ 1.00000000e+00  3.54002762e-07 -1.52379123e-09]
 [ 3.54002762e-07 -1.00000000e+00  5.80621328e-10]
 [ 1.52379103e-09  5.80621530e-10  1.00000000e+00]]",[0.08185583 0.00747886 0.00791175],"[[ 0.0603678  -0.98356147 -0.17018389]
 [-0.99801767 -0.05643591 -0.02785186]
 [-0.01778954 -0.17152788  0.98501864]]","[np.float64(300.46735701748423), np.float64(336.0046999588621), np.float64(238.34148868583705)]","[np.float32(1.983893), np.float32(2.6601245), np.float32(30.075708)]"
6,../normshapes/AircraftBuoyant/m1343.obj,../shapes/AircraftBuoyant/m1343.obj,8000,[ 2.83466807e-09  7.42891643e-10 -5.02388502e-10],[ 2.83466807e-09  7.42891643e-10 -5.02388502e-10],[1.0492171 1.0492171 1.0492171],0.3359777,1.4263798,[-0.3378754   0.3813779  -0.35839388  0.36079597 -0.52290946  0.47709048],[0. 0. 0.],15988,AircraftBuoyant,Triangle,[0.03370798 0.03518427 0.04975324],"[[ 1.00000000e+00  3.04490070e-07  1.50117684e-09]
 [ 3.04490070e-07 -1.00000000e+00  1.04894467e-09]
 [-1.50117716e-09  1.04894414e-09  1.00000000e+00]]",[0.0272242  0.08290807 0.02728586],"[[ 1.00000000e+00  3.38803587e-07  3.19212014e-11]
 [ 3.38803587e-07 -1.00000000e+00 -2.99493628e-07]
 [-3.18197319e-11 -2.99493628e-07  1.00000000e+00]]","[np.float64(56.39975043048215), np.float64(109.64443055542053), np.float64(55.08955931130586)]","[np.float32(29.695673), np.float32(1.8893269), np.float32(116.99657)]"
7,../normshapes/AircraftBuoyant/m1344.obj,../shapes/AircraftBuoyant/m1344.obj,5588,[ 3.41539634e-11 -9.87349434e-11  2.92413289e-10],[ 3.41539634e-11 -9.87349434e-11  2.92413289e-10],[-1.05260956 -1.05260956 -1.05260956],0.3574452,1.3958924,[-0.34434286  0.34432068 -0.344472    0.34419215 -0.5070635   0.4929364 ],[0. 0. 0.],10932,AircraftBuoyant,Triangle,[0.02776834 0.02783689 0.0816187 ],"[[ 1.00000000e+00  7.38924448e-06 -2.02364843e-10]
 [ 7.38924448e-06 -1.00000000e+00  4.25476917e-10]
 [ 2.02361699e-10  4.25478426e-10  1.00000000e+00]]",[0.10835615 0.01093409 0.0108532 ],"[[ 1.01636165e-03 -9.99970331e-01  7.63572930e-03]
 [-9.99999434e-01 -1.01874660e-03 -3.08458435e-04]
 [-3.16228156e-04  7.63541147e-03  9.99970800e-01]]","[np.float64(259.46644429520563), np.float64(413.870611667778), np.float64(258.40597443599995)]","[np.float32(0.092368565), np.float32(0.0677658), np.float32(19.295437)]"
8,../normshapes/AircraftBuoyant/m1345.obj,../shapes/AircraftBuoyant/m1345.obj,8000,[ 2.41360203e-09 -1.00249872e-09 -4.42937016e-09],[ 2.41360203e-09 -1.00249872e-09 -4.42937016e-09],[-1.05321395 -1.05321395 -1.05321395],0.32235968,1.3019913,[-0.2572774   0.33282667 -0.30201542  0.28701666 -0.37523562  0.6247643 ],[0. 0. 0.],15227,AircraftBuoyant,Triangle,[0.02059303 0.02195517 0.07111216],"[[ 1.00000000e+00  1.34969397e-07  2.13478660e-10]
 [ 1.34969397e-07 -1.00000000e+00 -7.98357779e-12]
 [-2.13478659e-10 -7.98357860e-12  1.00000000e+00]]",[0.09119675 0.02040059 0.02041466],"[[ 1.11849402e-03  9.99225446e-01 -3.93351922e-02]
 [ 9.99998882e-01 -1.15666234e-03 -9.47590953e-04]
 [ 9.92354528e-04  3.93340884e-02  9.99225623e-01]]","[np.float64(708.256826351511), np.float64(2621.4306924677217), np.float64(708.4397664994787)]","[np.float32(26.232594), np.float32(2.0847416), np.float32(194.20789)]"
9,../normshapes/AircraftBuoyant/m1346.obj,../shapes/AircraftBuoyant/m1346.obj,5112,[2.53818764e-11 8.58716360e-11 8.05365387e-10],[2.53818764e-11 8.58716360e-11 8.05365387e-10],[-1.05202162 -1.05202162 -1.05202162],0.28830996,1.1034594,[-0.15255815  0.15989453 -0.16429909  0.18210503 -0.4594818   0.54051816],[0. 0. 0.],10141,AircraftBuoyant,Triangle,[0.00547976 0.0063012  0.08459635],"[[-1.00000000e+00  1.18595498e-09 -1.14730019e-11]
 [ 1.18595498e-09  1.00000000e+00  1.12112907e-10]
 [-1.14730021e-11 -1.12112985e-10  1.00000000e+00]]",[0.0897768  0.00387209 0.00622558],"[[ 0.00155137  0.99991205  0.01317147]
 [ 0.01050078 -0.01318704  0.99985791]
 [-0.99994366  0.00141284  0.01052032]]","[np.float64(44.20417974419306), np.float64(53.543757493200765), np.float64(437.6844641407987)]","[np.float32(0.52741903), np.float32(0.3203241), np.float32(50.714054)]"
