,New Path,Orig Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Prev Eigenvalue,Prev Eigenvectors,FlippingMomentumBefore,FlippingMomentumAfter
0,../normshapes/AircraftBuoyant/m1337.obj,../shapes/AircraftBuoyant/m1337.obj,6653,[-1.12896002e-11  1.00712355e-10  1.30670588e-10],[-1.12896002e-11  1.00712355e-10  1.30670588e-10],[-1.0148046 -1.0148046 -1.0148046],0.4383907,1.589078,[-0.4488738   0.5511263  -0.43685466  0.44677606 -0.39764294  0.46512294],[0. 0. 0.],13184,AircraftBuoyant,Triangle,[0.07025812 0.06141742 0.06171183],"[[-0.88745547 -0.40070658  0.22772138]
 [ 0.00685487  0.48255665  0.87583793]
 [ 0.46084249 -0.77882816  0.42550075]]",[0.10504595 0.04645249 0.04645206],"[[ 1.37932984e-03 -8.60879106e-01  5.08807688e-01]
 [-9.99998671e-01 -1.62945564e-03 -4.60612164e-05]
 [-8.68732693e-04  5.08806948e-01  8.60880209e-01]]","[np.float64(88.30131112660229), np.float64(144.9856320654222), np.float64(87.9379831707377)]","[np.float32(4.593559), np.float32(8.779105), np.float32(51.49395)]"
1,../normshapes/AircraftBuoyant/m1341.obj,../shapes/AircraftBuoyant/m1341.obj,6105,[-8.00986993e-11  1.34864433e-11 -2.78241645e-11],[-8.00986993e-11  1.34864433e-11 -2.78241645e-11],[-1.05263162 -1.05263162 -1.05263162],0.24738903,1.130757,[-0.35629776  0.64370227 -0.18659937  0.18663748 -0.18661702  0.18661983],[0. 0. 0.],12194,AircraftBuoyant,Triangle,[0.06406191 0.00752722 0.00754919],"[[-1.00000000e+00  2.03181429e-05 -5.32836647e-10]
 [ 1.23196968e-10 -2.01612757e-05 -1.00000000e+00]
 [ 2.03181429e-05  1.00000000e+00 -2.01612757e-05]]",[0.08771655 0.00299744 0.00286422],"[[-2.07842920e-04 -9.99999978e-01  1.51565623e-06]
 [-9.99999978e-01  2.07842920e-04 -1.22730395e-08]
 [-1.19580208e-08  1.51565874e-06  1.00000000e+00]]","[np.float64(36.02686909402769), np.float64(199.27876078139917), np.float64(35.941125874888165)]","[np.float32(185.65729), np.float32(0.011998379), np.float32(0.004945485)]"
2,../normshapes/AircraftBuoyant/m1342.obj,../shapes/AircraftBuoyant/m1342.obj,6971,[ 7.36916419e-11 -8.11429489e-11 -4.99766752e-11],[ 7.36916419e-11 -8.11429489e-11 -4.99766752e-11],[-1.09122789 -1.09122789 -1.09122789],0.3440452,1.3639278,[-0.4471203   0.5528797  -0.31758922  0.3247911  -0.24877529  0.42028883],[0. 0. 0.],13868,AircraftBuoyant,Triangle,[0.0765419  0.02537035 0.02562239],"[[-0.91116085 -0.38134479 -0.15608351]
 [-0.00648863  0.39202872 -0.9199301 ]
 [-0.41199977  0.83719152  0.35967563]]",[0.08185583 0.00747886 0.00791175],"[[ 0.0603678  -0.98356147 -0.17018389]
 [-0.99801767 -0.05643591 -0.02785186]
 [-0.01778954 -0.17152788  0.98501864]]","[np.float64(300.46735701748423), np.float64(336.0046999588621), np.float64(238.34148868583705)]","[np.float32(61.891254), np.float32(3.870331), np.float32(111.4226)]"
3,../normshapes/AircraftBuoyant/m1344.obj,../shapes/AircraftBuoyant/m1344.obj,5588,[-3.42575795e-11 -1.14764055e-10  1.27452304e-10],[-3.42575795e-11 -1.14764055e-10  1.27452304e-10],[-1.16901147 -1.16901147 -1.16901147],0.39697295,1.5347533,[-0.45810163  0.54189837 -0.3794547   0.37942865 -0.3676576   0.51527154],[0. 0. 0.],10932,AircraftBuoyant,Triangle,[0.10066827 0.03424939 0.03433394],"[[-7.85868394e-01 -4.85966173e-01 -3.82423517e-01]
 [-3.93217116e-04  6.18806808e-01 -7.85543111e-01]
 [-6.18393655e-01  6.17183128e-01  4.86491803e-01]]",[0.10835615 0.01093409 0.0108532 ],"[[ 1.01636165e-03 -9.99970331e-01  7.63572930e-03]
 [-9.99999434e-01 -1.01874660e-03 -3.08458435e-04]
 [-3.16228156e-04  7.63541147e-03  9.99970800e-01]]","[np.float64(259.46644429520563), np.float64(413.870611667778), np.float64(258.40597443599995)]","[np.float32(99.2601), np.float32(0.08517961), np.float32(130.72984)]"
4,../normshapes/AircraftBuoyant/m1345.obj,../shapes/AircraftBuoyant/m1345.obj,8000,[ 4.92846084e-11 -3.84179657e-11  4.89083050e-11],[ 4.92846084e-11 -3.84179657e-11  4.89083050e-11],[-1.11156332 -1.11156332 -1.11156332],0.34021884,1.4196001,[-0.40611157  0.59388846 -0.36070892  0.41773683 -0.2880172   0.35173795],[0. 0. 0.],15227,AircraftBuoyant,Triangle,[0.07920982 0.02445524 0.022938  ],"[[-0.8701375   0.41806286  0.26092943]
 [ 0.49269264  0.7494923   0.44217107]
 [ 0.0107093  -0.51330764  0.85813786]]",[0.09119675 0.02040059 0.02041466],"[[ 1.11849402e-03  9.99225446e-01 -3.93351922e-02]
 [ 9.99998882e-01 -1.15666234e-03 -9.47590953e-04]
 [ 9.92354528e-04  3.93340884e-02  9.99225623e-01]]","[np.float64(708.256826351511), np.float64(2621.4306924677217), np.float64(708.4397664994787)]","[np.float32(136.7745), np.float32(69.527405), np.float32(13.1258955)]"
5,../normshapes/AircraftBuoyant/m1352.obj,../shapes/AircraftBuoyant/m1352.obj,8000,[ 7.97456323e-12 -1.82944859e-12 -3.01702130e-11],[ 7.97456323e-12 -1.82944859e-12 -3.01702130e-11],[1.05291033 1.05291033 1.05291033],0.27559558,1.1158903,[-0.44244277  0.5575572  -0.17748477  0.19546466 -0.17622189  0.14953855],[0. 0. 0.],15895,AircraftBuoyant,Triangle,[0.06890599 0.00636337 0.01021365],"[[ 9.99929354e-01 -8.56080464e-03  8.24613686e-03]
 [-8.24497504e-03  1.70998160e-04  9.99965995e-01]
 [ 8.56192360e-03  9.99963341e-01 -1.00402459e-04]]",[0.07047498 0.01012987 0.00495225],"[[ 0.99999658 -0.0023833  -0.00107235]
 [-0.00238531 -0.99999539 -0.00187921]
 [ 0.00106786 -0.00188176  0.99999766]]","[np.float64(1819.4790267161288), np.float64(286.88335645341334), np.float64(234.58376811291905)]","[np.float32(63.970043), np.float32(7.4735985), np.float32(1.8723906)]"
6,../normshapes/Apartment/D00310.obj,../shapes/Apartment/D00310.obj,7939,[-1.94027217e-10  5.93587634e-11  3.69319690e-12],[-1.94027217e-10  5.93587634e-11  3.69319690e-12],[-0.55052185 -0.55052185 -0.55052185],0.32034335,1.1972234,[-0.45716685  0.54283315 -0.22328697  0.29432607 -0.20919755  0.1975219 ],[0. 0. 0.],8506,Apartment,Triangle,[0.08557225 0.00786504 0.0229079 ],"[[-9.98836333e-01  4.82283892e-02  4.66780229e-05]
 [ 7.07064250e-06  1.11428993e-03 -9.99999379e-01]
 [ 4.82284112e-02  9.98835713e-01  1.11333428e-03]]",[0.27760058 0.07429363 0.02494206],"[[ 0.99840528 -0.051258   -0.02365413]
 [-0.05083436 -0.99854167  0.01817693]
 [ 0.02455135  0.0169455   0.99955494]]","[np.float64(725.7491051415143), np.float64(75.310039846715), np.float64(-37.28226438825047)]","[np.float32(20.248161), np.float32(29.83978), np.float32(1.2841378)]"
7,../normshapes/Apartment/D00366.obj,../shapes/Apartment/D00366.obj,8000,[-8.23829396e-11  2.46582204e-11 -8.39145287e-11],[-8.23829396e-11  2.46582204e-11 -8.39145287e-11],[-0.62438673 -0.62438673 -0.62438673],0.396565,1.375684,[-0.4950566   0.50494343 -0.34455442  0.37413543 -0.30142203  0.31175947],[0. 0. 0.],15927,Apartment,Triangle,[0.08846493 0.0484583  0.02919509],"[[ 9.98612090e-01  4.66493924e-02  2.44484866e-02]
 [ 4.66209346e-02 -9.98911150e-01  1.73300291e-03]
 [-2.45027094e-02  5.90786356e-04  9.99699589e-01]]",[0.20970553 0.1047377  0.08072606],"[[ 0.99661581  0.07339569  0.03701341]
 [ 0.08181126 -0.92941841 -0.35984488]
 [-0.00798988 -0.36165521  0.93227768]]","[np.float64(-106.83226312316168), np.float64(-129.58398059235523), np.float64(0.3135948308215266)]","[np.float32(99.70099), np.float32(36.668148), np.float32(10.877243)]"
8,../normshapes/Apartment/D00496.obj,../shapes/Apartment/D00496.obj,7737,[ 3.00419842e-10 -8.39673909e-11 -2.53326895e-10],[ 3.00419842e-10 -8.39673909e-11 -2.53326895e-10],[0.54751498 0.54751498 0.54751498],0.28413638,1.4688451,[-0.36253446  0.6374656  -0.3286042   0.31029192 -0.40198416  0.46364728],[0. 0. 0.],4956,Apartment,Triangle,[0.01438023 0.03568157 0.03772224],"[[ 0.05078985  0.8856483  -0.46157066]
 [ 0.9000241  -0.24090668 -0.36320875]
 [ 0.43287067  0.3969774   0.80934042]]",[0.04797047 0.11902877 0.12583616],"[[ 5.27407648e-02  9.10681880e-01 -4.09727868e-01]
 [ 2.31046565e-02  4.09076259e-01  9.12207646e-01]
 [-9.98340917e-01  5.75771505e-02 -5.34002712e-04]]","[np.float64(31.02537890692893), np.float64(-1.2808987741087714), np.float64(-43.93735668899396)]","[np.float32(14.491168), np.float32(5.701565), np.float32(4.708657)]"
9,../normshapes/Apartment/D00639.obj,../shapes/Apartment/D00639.obj,8000,[ 3.72783688e-11  5.82144821e-12 -1.62490323e-11],[ 3.72783688e-11  5.82144821e-12 -1.62490323e-11],[-0.56836498 -0.56836498 -0.56836498],0.3097533,1.3510505,[-0.4723926   0.5276074  -0.3145435   0.35063875 -0.29679605  0.32196888],[0. 0. 0.],14790,Apartment,Triangle,[0.06473692 0.02348575 0.01675188],"[[ 0.9623578  -0.20925037  0.17344092]
 [-0.20504604 -0.97784995 -0.04201893]
 [-0.17839168 -0.00487387  0.98394749]]",[0.19643149 0.05736936 0.08108464],"[[ 0.98329075  0.18155036  0.01337046]
 [ 0.03728557 -0.12896214 -0.99094831]
 [ 0.17818274 -0.97488883  0.13357649]]","[np.float64(1292.2506364629287), np.float64(-89.00648720205788), np.float64(-462.96675254221947)]","[np.float32(46.0038), np.float32(13.444071), np.float32(6.696581)]"
