Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Vertices_bin,Source
4,4,4,4,../shapes/AircraftBuoyant/m1341.obj,425,[0.20235557 0.39406215 0.20228764],[0.20235543 0.39406213 0.2022876 ],[1. 1. 1.],0.27919862,1.0742192343342958,[0.025    0.379575 0.025    0.975    0.025    0.379575],[0. 0. 0.],824,AircraftBuoyant,Triangle,[0.08771655 0.00299744 0.00286422],"[[-2.07843352e-04 -9.99999978e-01  1.48961295e-06]
 [-9.99999978e-01  2.07843352e-04 -1.29210812e-08]
 [-1.26114748e-08  1.48961560e-06  1.00000000e+00]]","(177.999, 778.0]",Subset
0,0,0,0,../shapes/AircraftBuoyant/m1337.obj,201,[0.45806434 0.51589742 0.45660967],[0.45806432 0.5158974  0.45660958],[1. 1. 1.],0.4403466,1.547999033808513,[0.025    0.889234 0.025    0.975    0.025    0.889234],[0. 0. 0.],340,AircraftBuoyant,Triangle,[0.10504596 0.04645249 0.04645206],"[[ 1.37933137e-03 -8.60535996e-01  5.09387767e-01]
 [-9.99998671e-01 -1.62949098e-03 -4.49679127e-05]
 [-8.68739279e-04  5.09387028e-01  8.60537100e-01]]","(177.999, 778.0]",Subset
5,5,5,5,../shapes/AircraftBuoyant/m1342.obj,1252,[0.3500422  0.23383409 0.30815935],[0.35004213 0.23383431 0.3081591 ],[1. 1. 1.],0.25123128,1.2601829338176036,[0.025    0.611587 0.025    0.975    0.025    0.60936 ],[0. 0. 0.],2305,AircraftBuoyant,Triangle,[0.08185583 0.00747886 0.00791175],"[[ 0.0603678  -0.98356146 -0.17018394]
 [-0.99801767 -0.05643591 -0.02785187]
 [-0.01778954 -0.17152794  0.98501863]]","(778.0, 1878.0]",Subset
7,7,7,7,../shapes/AircraftBuoyant/m1344.obj,1093,[0.35005955 0.29013131 0.34940063],[0.35006022 0.29013172 0.34940135],[1. 1. 1.],0.31204855,1.3210452252474445,[0.025    0.674099 0.025    0.975    0.025    0.6741  ],[0. 0. 0.],1930,AircraftBuoyant,Triangle,[0.10835615 0.01093409 0.0108532 ],"[[ 1.01636442e-03 -9.99970329e-01  7.63602075e-03]
 [-9.99999434e-01 -1.01874947e-03 -3.08459073e-04]
 [-3.16229113e-04  7.63570291e-03  9.99970798e-01]]","(778.0, 1878.0]",Subset
15,15,15,15,../shapes/AircraftBuoyant/m1352.obj,3298,[0.46863493 0.18617714 0.17864334],[0.46863344 0.18617718 0.17864327],[1. 1. 1.],0.27261302,1.0586703243479876,[0.025    0.975    0.025    0.376642 0.025    0.332621],[0. 0. 0.],6348,AircraftBuoyant,Triangle,[0.07047498 0.01012987 0.00495225],"[[ 0.99999658 -0.0023833  -0.00107235]
 [-0.00238531 -0.99999539 -0.0018792 ]
 [ 0.00106786 -0.00188176  0.99999766]]","(1878.0, 12987.0]",Subset
8,8,8,8,../shapes/AircraftBuoyant/m1345.obj,3174,[0.31304833 0.58999737 0.3130726 ],[0.3130477  0.58999914 0.31307226],[1. 1. 1.],0.34617567,1.2516750746945922,[0.025    0.601277 0.025    0.975    0.025    0.601277],[0. 0. 0.],6000,AircraftBuoyant,Triangle,[0.09119675 0.02040059 0.02041466],"[[ 1.11849481e-03  9.99225416e-01 -3.93359515e-02]
 [ 9.99998882e-01 -1.15666386e-03 -9.47590311e-04]
 [ 9.92354796e-04  3.93348477e-02  9.99225593e-01]]","(1878.0, 12987.0]",Subset
26,26,26,26,../shapes/Apartment/D00639.obj,4849,[ 0.1916355  -0.02615515 -0.12254833],[ 0.19163585 -0.0261552  -0.12254826],[1. 1. 1.],0.554428,2.2844846659615103,[-0.542818  1.14108  -0.544259  0.500059 -0.687879  0.449116],[0. 0. 0.],7980,Apartment,Triangle,[0.19643149 0.05736936 0.08108464],"[[ 0.98329075  0.18155036  0.01337046]
 [ 0.03728557 -0.12896214 -0.99094831]
 [ 0.17818274 -0.97488883  0.13357649]]","(1293.999, 4876.0]",Subset
22,22,22,22,../shapes/Apartment/D00366.obj,1294,[-0.02215598 -0.07962717  0.02382457],[-0.02215597 -0.07962724  0.02382454],[1. 1. 1.],0.6026213,2.4926392104207347,[-0.895467  0.745644 -0.856715  0.59104  -0.663917  0.529402],[0. 0. 0.],2540,Apartment,Triangle,[0.20970553 0.1047377  0.08072606],"[[ 0.99661581  0.07339569  0.03701341]
 [ 0.08181126 -0.92941841 -0.35984487]
 [-0.00798988 -0.3616552   0.93227768]]","(1293.999, 4876.0]",Subset
24,24,24,24,../shapes/Apartment/D00496.obj,7737,[-0.00174584 -0.00655535 -0.03233715],[-0.00174572 -0.0065554  -0.03233716],[1. 1. 1.],0.51895636,2.4689015645256207,[-0.643419  1.15353  -0.704659  0.878216 -0.341188  0.259608],[0. 0. 0.],2579,Apartment,Triangle,[0.04797047 0.11902877 0.12583616],"[[ 5.27407637e-02  9.10681859e-01 -4.09727913e-01]
 [ 2.31046545e-02  4.09076305e-01  9.12207625e-01]
 [-9.98340917e-01  5.75771487e-02 -5.34007004e-04]]","(4876.0, 12805.333]",Subset
33,33,33,33,../shapes/Apartment/D00869.obj,4930,[-0.15508069  0.08652805  0.13220488],[-0.15508054  0.08652805  0.13220489],[1. 1. 1.],0.66172063,2.242601236091008,[-0.984513  0.688383 -0.521765  0.644962 -0.380646  0.551785],[0. 0. 0.],9069,Apartment,Triangle,[0.26627842 0.12188595 0.07982689],"[[ 0.99061291  0.13211515 -0.03509488]
 [ 0.13542341 -0.9834532   0.12033415]
 [ 0.0186162   0.12395723  0.99211292]]","(4876.0, 12805.333]",Subset
