,TP,TN,FP,FN,Class
0,1.0,2403.0,1.0,14.0,AircraftBuoyant
1,1.0,2403.0,1.0,14.0,AircraftBuoyant
2,0,2402.0,2,15.0,AircraftBuoyant
3,1.0,2403.0,1.0,14.0,AircraftBuoyant
4,0,2402.0,2,15.0,AircraftBuoyant
5,1.0,2403.0,1.0,14.0,AircraftBuoyant
6,0,2402.0,2,15.0,AircraftBuoyant
7,1.0,2403.0,1.0,14.0,AircraftBuoyant
8,0,2402.0,2,15.0,AircraftBuoyant
9,1.0,2403.0,1.0,14.0,AircraftBuoyant
10,1.0,2403.0,1.0,14.0,AircraftBuoyant
11,0,2402.0,2,15.0,AircraftBuoyant
12,0,2402.0,2,15.0,AircraftBuoyant
13,0,2402.0,2,15.0,AircraftBuoyant
14,0,2402.0,2,15.0,AircraftBuoyant
15,0,2394.0,2,23.0,Apartment
16,0,2394.0,2,23.0,Apartment
17,0,2394.0,2,23.0,Apartment
18,1.0,2395.0,1.0,22.0,Apartment
19,0,2394.0,2,23.0,Apartment
20,0,2394.0,2,23.0,Apartment
21,1.0,2395.0,1.0,22.0,Apartment
22,1.0,2395.0,1.0,22.0,Apartment
23,0,2394.0,2,23.0,Apartment
24,0,2394.0,2,23.0,Apartment
25,0,2394.0,2,23.0,Apartment
26,1.0,2395.0,1.0,22.0,Apartment
27,0,2394.0,2,23.0,Apartment
28,0,2394.0,2,23.0,Apartment
29,0,2394.0,2,23.0,Apartment
30,0,2394.0,2,23.0,Apartment
31,1.0,2395.0,1.0,22.0,Apartment
32,0,2394.0,2,23.0,Apartment
33,0,2394.0,2,23.0,Apartment
34,0,2394.0,2,23.0,Apartment
35,0,2394.0,2,23.0,Apartment
36,0,2394.0,2,23.0,Apartment
37,0,2394.0,2,23.0,Apartment
38,1.0,2389.0,1.0,28.0,AquaticAnimal
39,1.0,2389.0,1.0,28.0,AquaticAnimal
40,1.0,2389.0,1.0,28.0,AquaticAnimal
41,1.0,2389.0,1.0,28.0,AquaticAnimal
42,1.0,2389.0,1.0,28.0,AquaticAnimal
43,0,2388.0,2,29.0,AquaticAnimal
44,0,2388.0,2,29.0,AquaticAnimal
45,0,2388.0,2,29.0,AquaticAnimal
46,1.0,2389.0,1.0,28.0,AquaticAnimal
47,1.0,2389.0,1.0,28.0,AquaticAnimal
48,0,2388.0,2,29.0,AquaticAnimal
49,1.0,2389.0,1.0,28.0,AquaticAnimal
50,0,2388.0,2,29.0,AquaticAnimal
51,0,2388.0,2,29.0,AquaticAnimal
52,1.0,2389.0,1.0,28.0,AquaticAnimal
53,0,2388.0,2,29.0,AquaticAnimal
54,1.0,2389.0,1.0,28.0,AquaticAnimal
55,1.0,2389.0,1.0,28.0,AquaticAnimal
56,0,2388.0,2,29.0,AquaticAnimal
57,0,2388.0,2,29.0,AquaticAnimal
58,0,2388.0,2,29.0,AquaticAnimal
59,1.0,2389.0,1.0,28.0,AquaticAnimal
60,0,2388.0,2,29.0,AquaticAnimal
61,1.0,2389.0,1.0,28.0,AquaticAnimal
62,0,2388.0,2,29.0,AquaticAnimal
63,0,2388.0,2,29.0,AquaticAnimal
64,0,2388.0,2,29.0,AquaticAnimal
65,1.0,2389.0,1.0,28.0,AquaticAnimal
66,1.0,2389.0,1.0,28.0,AquaticAnimal
67,0,2390.0,2,27.0,Bed
68,0,2390.0,2,27.0,Bed
69,0,2390.0,2,27.0,Bed
70,0,2390.0,2,27.0,Bed
71,0,2390.0,2,27.0,Bed
72,1.0,2391.0,1.0,26.0,Bed
73,1.0,2391.0,1.0,26.0,Bed
74,1.0,2391.0,1.0,26.0,Bed
75,1.0,2391.0,1.0,26.0,Bed
76,1.0,2391.0,1.0,26.0,Bed
77,1.0,2391.0,1.0,26.0,Bed
78,0,2390.0,2,27.0,Bed
79,0,2390.0,2,27.0,Bed
